ID;Rep;Digestibility;trait_class;CSplit
108308002004;1;47.78715809;(40,50];Test
108308002004;2;47.78715809;(40,50];Test
108308002004;3;47.78715809;(40,50];Test
108308002004;4;47.78715809;(40,50];Test
108308002006;1;72.87231168;(60, Inf];Test
108308002006;2;72.87231168;(60, Inf];Test
108308002006;3;72.87231168;(60, Inf];Test
108308002006;4;72.87231168;(60, Inf];Test
108308002010;1;46.11946663;(40,50];Test
108308002010;2;46.11946663;(40,50];Test
108308002010;3;46.11946663;(40,50];Test
108308002010;4;46.11946663;(40,50];Test
108308002016;1;53.62599025;(50,60];Test
108308002016;2;53.62599025;(50,60];Test
108308002016;3;53.62599025;(50,60];Test
108308002016;4;53.62599025;(50,60];Test
108308002024;1;69.4434464;(60, Inf];Test
108308002024;2;69.4434464;(60, Inf];Test
108308002024;3;69.4434464;(60, Inf];Test
108308002024;4;69.4434464;(60, Inf];Test
108308002032;1;59.62843338;(50,60];Test
108308002032;2;59.62843338;(50,60];Test
108308002032;3;59.62843338;(50,60];Test
108308002032;4;59.62843338;(50,60];Test
108308002040;1;47.49177059;(40,50];Test
108308002040;2;47.49177059;(40,50];Test
108308002040;3;47.49177059;(40,50];Test
108308002040;4;47.49177059;(40,50];Test
108308002054;1;47.5937487;(40,50];Test
108308002054;2;47.5937487;(40,50];Test
108308002054;3;47.5937487;(40,50];Test
108308002054;4;47.5937487;(40,50];Test
108308002068;1;51.80056124;(50,60];Test
108308002068;2;51.80056124;(50,60];Test
108308002068;3;51.80056124;(50,60];Test
108308002068;4;51.80056124;(50,60];Test
108308002088;1;37.05703399;(30,40];Test
108308002088;2;37.05703399;(30,40];Test
108308002088;3;37.05703399;(30,40];Test
108308002088;4;37.05703399;(30,40];Test
108308002104;1;15.20491816;[-Inf,30];Test
108308002104;2;15.20491816;[-Inf,30];Test
108308002104;3;15.20491816;[-Inf,30];Test
108308002104;4;15.20491816;[-Inf,30];Test
108308002122;1;18.56168698;[-Inf,30];Test
108308002122;2;18.56168698;[-Inf,30];Test
108308002122;3;18.56168698;[-Inf,30];Test
108308002122;4;18.56168698;[-Inf,30];Test
108308002130;1;54.60604999;(50,60];Test
108308002130;2;54.60604999;(50,60];Test
108308002130;3;54.60604999;(50,60];Test
108308002130;4;54.60604999;(50,60];Test
108308002132;1;65.59691732;(60, Inf];Test
108308002132;2;65.59691732;(60, Inf];Test
108308002132;3;65.59691732;(60, Inf];Test
108308002132;4;65.59691732;(60, Inf];Test
108308002854;1;70.09429167;(60, Inf];Test
108308002854;2;70.09429167;(60, Inf];Test
108308002854;3;70.09429167;(60, Inf];Test
108308002854;4;70.09429167;(60, Inf];Test
108308002856;1;25.93366076;[-Inf,30];Test
108308002856;2;25.93366076;[-Inf,30];Test
108308002856;3;25.93366076;[-Inf,30];Test
108308002856;4;25.93366076;[-Inf,30];Test
108308002860;1;70.4027506;(60, Inf];Test
108308002860;2;70.4027506;(60, Inf];Test
108308002860;3;70.4027506;(60, Inf];Test
108308002860;4;70.4027506;(60, Inf];Test
