dataset,paper Ridge,paper PLS,paper Nicon,paper CatBoost,paper TabPFN-raw,paper TabPFN-opt,AOM-PLS-best,AOM-Ridge-best,V2L-learnableRMS,V2M-deeper,V3-AOMTransformer,V6-Distill-AOMPLS,V6-Distill-V2M,V7-TTA-V2L
ALPINE_P_291_KS,0.0589773153713793,0.0622707496529526,0.0664148023614497,0.0603528865617188,0.0595929243596609,0.0434172262265824,0.0570306404056327,0.0580812657263183,0.0685143962930924,0.0697255507606588,0.0737898885616737,0.0721286674651839,0.0679339816107164,0.068373347258278
Beer_OriginalExtract_60_YbaseSplit,0.1910032468197337,0.2559337959455767,,0.8248772788864936,0.2248612839143847,0.1518057882280002,0.2074260424079046,0.258492607083256,0.6315723481809828,0.4641425308548981,0.6365638491894478,0.618952402425072,0.4871242813626172,0.6946800951017708
N_woOutlier,0.2263305091990318,0.2380378882249404,0.2284955254602308,0.2540808169377002,0.209232780207432,0.1774593952768322,0.2417774742364329,,0.271574442711565,0.2990460626247614,0.317638365219707,0.2849635758723585,0.3563528705178582,0.2770292020082544
Chla+b_spxyG_block2deg,72.88079011425634,68.48299411322476,47.58857808223682,55.892551960924,59.89801078051081,70.2517756389499,13.951962642419916,,21.22032114583747,34.29533700131679,35.18085591289482,29.744766162666053,32.11488525111734,21.58544535852592
Chla+b_spxyG_species,63.69881633405782,65.10231168682624,26.784691491905424,26.549529540829685,60.69883695501996,49.00256863506216,14.019228997409694,,25.04411081508368,32.54794319446868,49.39120954159966,24.437684930478923,47.9936181945868,23.28438501050088
grapevine_chloride_556_KS,914.9612915669088,915.735138197346,1073.719514334624,875.196391770851,1004.7711085771856,771.2750618484285,916.5580773140164,938.8161798346372,1215.3102520087782,1189.444975057507,1213.938972712425,1187.3237130816,1204.0666924585494,1216.0574146571018
An_spxyG70_30_byCultivar_NeoSpectra,4.802865456056688,4.927187099416517,4.11519325075458,4.8041700890023495,4.374574398786281,4.484544769962023,4.3170571697034505,4.686971712244227,4.341744876751783,4.30215797207468,4.28356323575938,4.330550410223496,4.301460253826189,4.34269775351303
TIC_spxy70,2.506867785916912,2.787786960121247,4.484732080735033,3.8836388033062335,3.4640680128660866,2.9618158540951023,2.948120757463263,3.649992484426337,5.478935746129427,5.210566416208398,5.9374711620973,5.400833206232264,5.014279786296967,5.519828354839471
All_manure_MgO_SPXY_strat_Manure_type,0.7736696013360851,0.7826806868853714,1.0005233617630638,0.8518912219363179,0.7834426914589188,0.7508986236686556,0.7168578848596966,0.7376199328405435,1.0360830842223865,1.028402215863009,1.0861602592885842,1.0284913291901692,1.0131036642169549,1.0483381072644848
All_manure_Total_N_SPXY_strat_Manure_type,1.7064692893113451,1.7584969529696053,1.8247846564270245,1.6932689102057146,1.7949795973712188,1.5941884695680253,1.5485802707770282,1.6620922165015766,1.9722697106392235,2.0857338798046285,2.0432519348954536,2.060671335683919,2.0786349638259027,1.9887444884234224
