our_variant,opponent,wins,n_valid,win_rate,median_ratio,median_pct
V2L-learnableRMS,paper Nicon,2,9,0.2222222222222222,1.0550524877429903,5.505248774299032
V2L-learnableRMS,paper CatBoost,4,10,0.4,1.1020402257554676,10.204022575546755
V2L-learnableRMS,paper PLS,3,10,0.3,1.13122653798951,13.122653798950989
V2L-learnableRMS,paper TabPFN-raw,3,10,0.3,1.1796231537934987,17.962315379349867
V2L-learnableRMS,paper Ridge,3,10,0.3,1.1808048334183563,18.08048334183563
V2L-learnableRMS,AOM-Ridge-best,1,7,0.14285714285714285,1.2945135353577337,29.45135353577337
V2L-learnableRMS,AOM-PLS-best,0,10,0.0,1.3856308850641412,38.563088506414125
V2L-learnableRMS,paper TabPFN-opt,3,10,0.3,1.455068918138295,45.5068918138295
V2M-deeper,paper Nicon,1,9,0.1111111111111111,1.1077799734268565,10.777997342685651
V2M-deeper,paper TabPFN-raw,3,10,0.3,1.1769138235966485,17.691382359664853
V2M-deeper,paper CatBoost,3,10,0.3,1.192085599906383,19.208559990638307
V2M-deeper,paper PLS,3,10,0.3,1.2211925295908457,22.11925295908457
V2M-deeper,paper Ridge,3,10,0.3,1.261122954161931,26.11229541619311
V2M-deeper,AOM-Ridge-best,1,7,0.14285714285714285,1.2669625860804994,26.696258608049938
V2M-deeper,AOM-PLS-best,1,10,0.1,1.3907327468321407,39.073274683214066
V2M-deeper,paper TabPFN-opt,3,10,0.3,1.4558709968075338,45.58709968075338
V3-AOMTransformer,paper Nicon,1,9,0.1111111111111111,1.1197222245918013,11.972222459180127
V3-AOMTransformer,paper TabPFN-raw,3,10,0.3,1.2232035101670808,22.320351016708084
V3-AOMTransformer,paper CatBoost,3,10,0.3,1.2363937812660302,23.639378126603017
V3-AOMTransformer,paper PLS,3,10,0.3,1.2553144727320784,25.531447273207842
V3-AOMTransformer,paper Ridge,3,10,0.3,1.2889612582139705,28.896125821397046
V3-AOMTransformer,AOM-Ridge-best,1,7,0.14285714285714285,1.293052888081081,29.3052888081081
V3-AOMTransformer,AOM-PLS-best,1,10,0.1,1.419811070505197,41.9811070505197
V3-AOMTransformer,paper TabPFN-opt,2,10,0.2,1.5102091775549644,51.02091775549644
V6-Distill-AOMPLS,paper Nicon,2,9,0.2222222222222222,1.0860330062060202,8.603300620602017
V6-Distill-AOMPLS,paper CatBoost,4,10,0.4,1.1583312231708214,15.833122317082138
V6-Distill-AOMPLS,paper PLS,3,10,0.3,1.1844860557246504,18.448605572465038
V6-Distill-AOMPLS,paper TabPFN-raw,3,10,0.3,1.1960209977029184,19.602099770291836
V6-Distill-AOMPLS,paper Ridge,3,10,0.3,1.2410247504296348,24.102475042963476
V6-Distill-AOMPLS,AOM-Ridge-best,1,7,0.14285714285714285,1.264703078818619,26.47030788186191
V6-Distill-AOMPLS,AOM-PLS-best,0,10,0.0,1.3827027986874907,38.27027986874907
V6-Distill-AOMPLS,paper TabPFN-opt,3,10,0.3,1.454555168924851,45.45551689248511
V6-Distill-V2M,paper Nicon,1,9,0.1111111111111111,1.118077890948425,11.807789094842501
V6-Distill-V2M,paper TabPFN-raw,3,10,0.3,1.1781881540573143,17.818815405731424
V6-Distill-V2M,paper CatBoost,3,10,0.3,1.2084138396624757,20.841383966247573
V6-Distill-V2M,paper PLS,3,10,0.3,1.2382271742423328,23.822717424233275
V6-Distill-V2M,paper Ridge,3,10,0.3,1.263784744680509,26.378474468050904
V6-Distill-V2M,AOM-Ridge-best,1,7,0.14285714285714285,1.2825372190226134,28.25372190226134
V6-Distill-V2M,AOM-PLS-best,1,10,0.1,1.443571872126358,44.35718721263579
V6-Distill-V2M,paper TabPFN-opt,3,10,0.3,1.455163093182158,45.5163093182158
V7-TTA-V2L,paper Nicon,2,9,0.2222222222222222,1.055284038657658,5.5284038657658074
V7-TTA-V2L,paper CatBoost,4,10,0.4,1.111605989553751,11.16059895537509
V7-TTA-V2L,paper PLS,3,10,0.3,1.1473686273742238,14.736862737422385
V7-TTA-V2L,paper TabPFN-raw,3,10,0.3,1.1788115234159877,17.88115234159877
V7-TTA-V2L,paper Ridge,3,10,0.3,1.1947088326939939,19.470883269399387
V7-TTA-V2L,AOM-Ridge-best,1,7,0.14285714285714285,1.295309391526782,29.530939152678194
V7-TTA-V2L,AOM-PLS-best,0,10,0.0,1.3945862120132122,39.45862120132122
V7-TTA-V2L,paper TabPFN-opt,3,10,0.3,1.478598191139683,47.85981911396831
