candidate_id,ALPINE_P_291_KS,All_manure_CaO_SPXY_strat_Manure_type,All_manure_K2O_SPXY_strat_Manure_type,All_manure_MgO_SPXY_strat_Manure_type,All_manure_P2O5_SPXY_strat_Manure_type,All_manure_Total_N_SPXY_strat_Manure_type,An_spxyG70_30_byCultivar_ASD,An_spxyG70_30_byCultivar_MicroNIR,An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,An_spxyG70_30_byCultivar_NeoSpectra,Beef_Marbling_RandomSplit,Beer_OriginalExtract_60_KS,Beer_OriginalExtract_60_YbaseSplit,Biscuit_Fat_40_RandomSplit,Biscuit_Sucrose_40_RandomSplit,Brix_spxy70,C_woOutlier,Ccar_spxyG_block2deg,Chla+b_spxyG_block2deg,Chla+b_spxyG_species,Corn_Oil_80_ZhengChenPelegYbaseSplit,Corn_Starch_80_ZhengChenPelegYbaseSplit,DIESEL_bp50_246_b-a,DIESEL_bp50_246_hla-b,DIESEL_bp50_246_hlb-a,Escitalopramt_310_Zhao,Firmness_spxy70,Fv_Fm_grp70_30,LMA_spxyG70_30_byCultivar_ASD,LP_spxyG,LUCAS_SOC_Cropland_8731_NocitaKS,LUCAS_pH_Organic_1763_LiuRandomOrganic,MP_spxyG,Malaria_Oocist_333_Maia,Malaria_Sporozoite_229_Maia,Milk_Fat_1224_KS,Milk_Lactose_1224_KS,Milk_Urea_1224_KS,NP_spxyG,N_wOutlier,N_woOutlier,Pi_spxyG,Quartz_spxy70,Rd25_CBtestSite,Rd25_GTtestSite,Rd25_XSBNtestSite,Rd25_spxy70,Rice_Amylose_313_YbasedSplit,TIC_spxy70,V25_spxyG,WOOD_Density_402_Olale,WOOD_N_402_Olale,WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,brix_groupSampleID_stratDateVar_balRows,grapevine_chloride_556_KS,ph_groupSampleID_stratDateVar_balRows,ta_groupSampleID_stratDateVar_balRows
AOM_v0 | AOM-PLS | AOM-compact-cv3-numpy | AOM-compact-cv3-numpy,1.01842836931,1.056872123,1.06683921713,1.0270878406,1.01496560075,0.991683037899,1.14572262532,0.985955225901,1.09606079401,1.104264223,1.02176999308,0.868799117999,1.16648247416,1.0737798039,1.20815350566,0.830512248847,1.61394801426,1.26032015945,1.0961485718,1.3661365787,1.26312056998,1.64472610417,1.01785953417,1.13183456123,0.965613409887,1.22483989626,1.09637976471,1.00181317665,0.9732869372,0.956160970898,1.00519364799,1.34574385068,1.14764074714,0.997131080584,0.997259573135,1.11882935898,1.03418483682,1.00873311419,1.37422538588,1.29737940205,1.35381661026,1.17657916439,1.00000000428,0.999997088729,1.02163760548,0.972926624791,1.03206846438,1.29696801595,1.35880391771,1.35428122474,1.04516140955,1.00275553745,1.06986603498,1.1780798046,1.12173445349,1.09049706609,1.15265424433
AOM_v0 | AOM-PLS | AOM-compact-cv5-numpy | AOM-compact-cv5-numpy,1.01842836931,1.09561882861,1.05280952083,0.953878402875,1.08024155442,0.991683037899,1.1904851608,0.960410933542,1.09298022286,1.09533517205,1.02119895757,0.868799117999,1.09138725348,1.0737798039,1.221977446,1.02257164138,1.61394801426,1.20061534888,1.0961485718,1.3661365787,1.12949417353,1.65176466072,1.01785953417,1.11077353389,0.989428436923,1.22483989626,0.99367808017,1.00181317665,0.970680341563,0.936843071781,1.00519364799,1.34574385068,1.06688466858,0.997131080584,0.997259573135,1.11882935898,1.03418483682,1.00873311419,1.38762374014,1.3085374551,1.35381661026,1.22273410755,1.00000000428,0.999997088729,1.02163760548,0.987726056083,1.0229775661,1.29696801595,1.33177945415,1.35428122474,1.02191351038,0.984867384645,0.971138717665,1.1780798046,1.06746272602,1.07679967572,1.15457568706
AOM_v0 | AOM-PLS | AOM-compact-cv5-oneSE-numpy | AOM-compact-cv5-oneSE-numpy,1.10300238219,1.09122759373,1.10925298374,1.11447735393,1.05003785466,1.02559502446,1.14596694953,0.937091182466,1.03482378174,1.09533517205,1.00630143233,0.868799117999,1.00366723707,1.11622870631,1.08797706834,0.564025933689,1.1716383522,0.944960030011,1.26241509639,1.63657409778,2.05778296472,1.53571850674,1.15253194753,1.37822665296,1.23749840488,1.22806186334,1.09637976471,1.00181317665,1.00779045934,0.850037846222,1.05342473237,1.51188942395,1.14764074714,1.0,1.00418636453,1.56020020125,1.18974224674,1.01730021385,1.18050982543,1.53169378081,1.66532499174,1.13813244604,1.00000000428,1.13197380633,1.08707069623,0.928992896307,1.02848965297,1.28821447012,1.33177945415,1.139597277,1.00702108048,1.00433437435,1.0905621835,1.19822889845,1.12592655814,1.10471901677,1.1928271045
AOM_v0 | AOM-PLS | AOM-compact-oneSEcv3-numpy | AOM-compact-oneSEcv3-numpy,1.06278266577,1.12651224121,1.14167030574,1.17805622916,1.04174572761,1.02559502446,1.14596694953,0.960410933542,1.10075448904,1.104264223,1.00630143233,0.868799117999,1.00366723707,0.665583857149,1.08797706834,0.626619326198,1.1716383522,0.939999414533,1.18353382775,1.52724651302,2.20346088133,1.53571850674,1.21359910771,1.38806252587,1.21247393035,1.22806186334,1.09637976471,1.00181317665,1.02197634162,0.93330767274,1.05342473237,1.51188942395,1.14764074714,1.0,1.00418636453,1.56020020125,1.10746051589,1.01730021385,1.15277518357,1.5789636977,1.66532499174,1.13954197301,1.00000000428,0.996017048018,1.08707069623,0.981486794346,1.00767946661,1.47459378298,1.71047127768,1.139597277,1.00589623546,1.00433437435,0.967185782497,1.22371164418,1.17351235774,1.10447730542,1.18547202812
AOM_v0 | AOM-PLS | AOM-compact-press-numpy | AOM-compact-press-numpy,1.40574864056,1.54672416655,1.53061251474,1.59993592123,1.53699474575,1.50914122857,1.45631425873,1.19737040539,1.37566157568,1.10446629605,0.988727301906,1.12298174024,3.00986650281,0.965343492853,2.63297545283,1.17997795468,1.2919215732,1.06543224291,1.0961485718,1.3661365787,1.82062381347,2.03419102125,1.06177310799,0.997155222323,0.945417562483,1.66551922836,0.975851018022,0.956405218753,0.971227756516,0.936843071781,1.00519364799,1.42695138615,1.31882550105,1.34298649148,1.05321744184,1.1338224791,1.06091989491,1.05988812342,1.55049653935,1.38837119092,1.35552893815,1.25444905222,1.04802170229,1.30853139869,1.45115084437,0.983553474478,1.04067666392,1.19180279296,1.43793560245,1.24838932027,1.11291635772,1.02993956472,1.26579875574,1.14000309439,1.000898665,1.17759130203,1.02720073402
AOM_v0 | AOM-PLS | AOM-compact-repcv3-numpy | AOM-compact-repcv3-numpy,1.00322459749,1.056872123,1.05280952083,1.01124397313,1.0945283752,0.991683037899,1.14596694953,0.960410933542,1.10075448904,1.09533517205,0.998169977757,0.685547201711,1.17020891234,1.0737798039,1.13504387475,0.585726102335,1.61394801426,1.20061534888,1.0961485718,1.3661365787,1.12949417353,1.64472610417,1.01785953417,1.06044503209,0.945417562483,1.11957036265,1.09637976471,1.00181317665,0.970680341563,0.939023475983,1.00519364799,1.34574385068,1.15638207589,0.997131080584,1.00078807316,1.11882935898,1.03418483682,1.00873311419,1.41277358819,1.313773623,1.35381661026,1.17657916439,1.00000000428,0.999997088729,0.964297082707,0.972926624791,1.03206846438,1.19180279296,1.33177945415,1.41228611852,1.02303965849,0.992021468949,0.985218258825,1.19822889845,1.06746272602,1.09049706609,1.02720073402
AOM_v0 | AOM-PLS | AOM-compact-repcv3-oneSE-numpy | AOM-compact-repcv3-oneSE-numpy,1.12004574086,1.05535139414,1.08925653825,1.11447735393,1.04174572761,1.02559502446,1.14596694953,0.937091182466,1.10075448904,1.06500912816,0.995196534515,0.868799117999,1.00366723707,1.33355728043,1.37938261356,0.628515842491,1.1716383522,0.977522914467,1.18353382775,1.63657409778,2.05778296472,1.61061423894,1.15253194753,1.37822665296,0.999604113845,1.22806186334,1.09637976471,1.00181317665,1.02197634162,0.93330767274,1.05342473237,1.51188942395,1.14764074714,1.0,1.00418636453,1.34946946113,1.10746051589,1.01730021385,1.19695960635,1.5789636977,1.66532499174,1.10639538274,1.00000000428,1.05903031154,1.08707069623,0.981486794346,1.02848965297,1.47459378298,1.75681887901,1.139597277,1.00702108048,1.00433437435,0.962541267488,1.24015756079,1.14030522398,1.10447730542,1.18547202812
AOM_v0 | AOM-PLS | AOM-compact-simpls-covariance-numpy | AOM-compact-simpls-covariance-numpy,1.00874330759,1.02547660991,1.10488327907,1.01532965888,1.17647274031,0.993094230778,1.13970543695,1.00540191052,1.14396989606,1.0873620374,0.990281334021,1.12298174024,3.7015687974,1.33355728043,1.253197017,1.17997795468,1.61394801426,1.06543224291,1.10072537337,1.3661365787,1.12949417353,1.64472610417,1.00670242692,1.0472573184,0.962164810363,1.11352987342,1.45564070435,1.08069814809,0.99201111804,0.94954293351,1.00519364799,1.42695138615,0.89861059261,1.08563487517,1.01217611846,1.30117572032,1.02543929461,1.0049734905,1.26058988315,1.25466163469,1.43552378709,1.16804746397,0.997867654665,1.16738663147,0.998253009909,0.938754517118,1.05113198893,1.19180279296,1.05820927235,1.5608977394,1.00702108048,0.99929836829,1.20809888333,1.19979847182,1.06746272602,1.09049706609,1.19537974427
AOM_v0 | AOM-PLS | AOM-default-nipals-adjoint-numpy | AOM-default-nipals-adjoint-numpy,1.12796363094,1.02133221132,1.06181479477,0.915900822484,1.18164493602,0.988104327341,1.13970543695,1.18298915965,1.25504984091,1.1737722801,0.990281334021,0.539400031195,0.823305091991,1.33355728043,4.55972883107,1.17997795468,1.45704045094,1.37437678885,1.07722059262,1.3661365787,0.94463509775,2.00776881148,1.02716841722,0.976909270376,1.18019644535,1.10240166544,1.27053357542,1.06519393127,0.992207542713,0.94954293351,1.06705919646,1.39517090521,0.910725284497,1.08561962072,1.04586102484,1.28459934902,1.04501640165,1.0220190049,1.40200825365,1.27369409157,1.42579378892,1.23154251133,0.997867658799,1.08066122687,0.999394749403,0.914605869152,1.03511075096,0.990519758522,1.10917067608,1.43129063661,1.08965117137,1.00351016224,1.06742970027,1.14538449293,1.05133908988,1.11105200688,0.994198647282
AOM_v0 | AOM-PLS | AOM-default-oneSEcv3-numpy | AOM-default-oneSEcv3-numpy,0.959732575632,1.14529363734,1.02183365771,1.09578536995,1.01546020234,1.01220560406,1.14596694953,0.968222690458,1.10152360449,1.104264223,0.999958447504,0.406926382954,0.81046757284,1.36269748931,1.23393952735,0.513422994428,1.18970599955,0.86733956759,1.18353382775,1.52724651302,1.93831408689,1.885052672,1.21359910771,1.38120854325,1.21247393035,1.25316856433,1.09637976471,1.01086150707,1.02583078508,0.9601889367,1.05342473237,1.42340155151,1.09127692877,1.0,1.00418636453,1.28904174851,1.10746051589,1.01473514698,1.32060238373,1.59088236788,1.7120079085,1.08912661555,1.00000000428,1.00968052137,1.17024070535,0.960275903649,1.04944126879,1.19376785045,1.05751293038,1.22427390049,1.01016636086,1.00433437435,1.09774491711,1.10328693491,1.15605732406,1.06652824333,1.03454667898
AOM_v0 | AOM-PLS | AOM-default-simpls-covariance-numpy | AOM-default-simpls-covariance-numpy,1.0643060928,1.02822839444,1.08174955789,0.928623764092,1.18144072643,0.986528299934,1.13847997864,1.14710326608,1.26715964139,1.1445448498,0.990281334021,0.579881400387,0.909542078187,1.37630268476,4.9825510351,1.17997795468,1.4505411225,1.06523987672,1.08521698414,1.36586888581,1.24709049462,1.98113512326,1.02716841722,1.04054851545,1.15813388387,1.29733159365,1.65216544379,1.0653003265,0.987483771805,0.941502908036,1.01150920107,1.42546492344,0.89861059261,1.08563487517,1.00211389788,1.35236341807,1.02890019842,1.0049734905,1.45660802642,1.27708626006,1.42647273927,1.16549024727,0.997867654665,1.12476567425,1.29525666391,0.918774656135,1.05871598099,1.00987310046,1.46448240643,1.41137735891,1.09098474434,1.00355134094,1.19914077239,1.09122799837,1.06689832644,1.11105200688,0.99284137619
