subset_name,scope,subset_size,eligible_candidates,status,spearman_subset_vs_global,top5_overlap,subset_winner_candidate,subset_winner_class,subset_winner_global_median_ratio,global_oracle_candidate,global_oracle_class,global_oracle_median_ratio,winner_global_rank,global_regret_abs
fast12_transfer_core,all_candidates,12,186,ok,0.9479595899691069,0.8,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,1,0.0
fast12_transfer_core,no_tabpfn,12,182,ok,0.9446672320129311,1.0,AOM_v0_Ridge | AOM-Ridge | AOMRidge-Blender-headline-spxy3 | AOMRidge-Blender-headline-spxy3,AOM-Ridge,0.98974053093,AOM_v0_Ridge | AOM-Ridge | AOMRidge-Blender-headline-spxy3 | AOMRidge-Blender-headline-spxy3,AOM-Ridge,0.98974053093,1,0.0
fast12_transfer_core,linear_core,12,166,ok,0.9428532824536656,1.0,AOM_v0_Ridge | AOM-Ridge | AOMRidge-Blender-headline-spxy3 | AOMRidge-Blender-headline-spxy3,AOM-Ridge,0.98974053093,AOM_v0_Ridge | AOM-Ridge | AOMRidge-Blender-headline-spxy3 | AOMRidge-Blender-headline-spxy3,AOM-Ridge,0.98974053093,1,0.0
fast12_transfer_core,aom_ridge_only,12,13,ok,0.9780219780219779,1.0,AOM_v0_Ridge | AOM-Ridge | AOMRidge-Blender-headline-spxy3 | AOMRidge-Blender-headline-spxy3,AOM-Ridge,0.98974053093,AOM_v0_Ridge | AOM-Ridge | AOMRidge-Blender-headline-spxy3 | AOMRidge-Blender-headline-spxy3,AOM-Ridge,0.98974053093,1,0.0
fast12_transfer_core,aom_pls_only,12,133,ok,0.9216279671902977,0.8,AOM_v0 | AOM-PLS | ASLS-AOM-compact-cv5-numpy | ASLS-AOM-compact-cv5-numpy,AOM-PLS,1.03352267517,AOM_v0 | AOM-PLS | ASLS-AOM-compact-cv5-numpy | ASLS-AOM-compact-cv5-numpy,AOM-PLS,1.03352267517,1,0.0
fast12_transfer_core,multi_kernel_only,12,5,ok,0.8999999999999998,1.0,AOM_v0_MultiKernel | Multi-kernel ridge | MKM-reml-asls | MKM-reml-asls,Multi-kernel ridge,1.00944821401,AOM_v0_MultiKernel | Multi-kernel ridge | MKM-reml-asls | MKM-reml-asls,Multi-kernel ridge,1.00944821401,1,0.0
fast12_transfer_core,tabpfn_only,12,4,ok,1.0,1.0,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,1,0.0
fast12_transfer_core,nonlinear_core,12,10,ok,0.9878048780487806,1.0,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,1,0.0
audit20_transfer_core,all_candidates,20,186,ok,0.9700664020283345,1.0,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,1,0.0
audit20_transfer_core,no_tabpfn,20,182,ok,0.9681883240071104,1.0,AOM_v0_Ridge | AOM-Ridge | AOMRidge-Blender-headline-spxy3 | AOMRidge-Blender-headline-spxy3,AOM-Ridge,0.98974053093,AOM_v0_Ridge | AOM-Ridge | AOMRidge-Blender-headline-spxy3 | AOMRidge-Blender-headline-spxy3,AOM-Ridge,0.98974053093,1,0.0
audit20_transfer_core,linear_core,20,166,ok,0.9697770682466174,1.0,AOM_v0_Ridge | AOM-Ridge | AOMRidge-Blender-headline-spxy3 | AOMRidge-Blender-headline-spxy3,AOM-Ridge,0.98974053093,AOM_v0_Ridge | AOM-Ridge | AOMRidge-Blender-headline-spxy3 | AOMRidge-Blender-headline-spxy3,AOM-Ridge,0.98974053093,1,0.0
audit20_transfer_core,aom_ridge_only,20,13,ok,0.967032967032967,1.0,AOM_v0_Ridge | AOM-Ridge | AOMRidge-Blender-headline-spxy3 | AOMRidge-Blender-headline-spxy3,AOM-Ridge,0.98974053093,AOM_v0_Ridge | AOM-Ridge | AOMRidge-Blender-headline-spxy3 | AOMRidge-Blender-headline-spxy3,AOM-Ridge,0.98974053093,1,0.0
audit20_transfer_core,aom_pls_only,20,133,ok,0.9604666614811865,0.8,AOM_v0 | AOM-PLS | ASLS-AOM-compact-cv5-numpy | ASLS-AOM-compact-cv5-numpy,AOM-PLS,1.03352267517,AOM_v0 | AOM-PLS | ASLS-AOM-compact-cv5-numpy | ASLS-AOM-compact-cv5-numpy,AOM-PLS,1.03352267517,1,0.0
audit20_transfer_core,multi_kernel_only,20,5,ok,0.8999999999999998,1.0,AOM_v0_MultiKernel | Multi-kernel ridge | MKM-reml-asls | MKM-reml-asls,Multi-kernel ridge,1.00944821401,AOM_v0_MultiKernel | Multi-kernel ridge | MKM-reml-asls | MKM-reml-asls,Multi-kernel ridge,1.00944821401,1,0.0
audit20_transfer_core,tabpfn_only,20,4,ok,1.0,1.0,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,1,0.0
audit20_transfer_core,nonlinear_core,20,10,ok,0.9756097560975612,0.8,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,1,0.0
