size,added,greedy_spearman,greedy_kendall,greedy_pairwise,greedy_rank_mae,greedy_agg_mae,greedy_composite,subset,boot_spearman_mean,boot_spearman_p05,boot_spearman_p95,boot_kendall_mean,boot_kendall_p05,boot_pairwise_mean,boot_pairwise_p05,boot_pairwise_p95,random_n_trials,random_spearman_mean,random_spearman_p05,random_kendall_mean,random_kendall_p05,random_pairwise_mean,random_pairwise_p05,random_rank_mae_mean
3,ta_groupSampleID_stratDateVar_balRows,0.9764613816982272,0.8727744549176866,0.9322096456692913,6.1015625,0.20952723411763485,0.9216034211495024,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows,0.9737842570946229,0.9632178671439574,0.981431549817899,0.8720895107212155,0.8454736148820525,0.932310531496063,0.9199680118110236,0.9428211122047244,200,0.7523224232028477,-0.01662274717064885,0.5940482314895084,-0.010991925847204724,0.791990034448819,0.49170767716535435,17.95484375
4,WOOD_N_402_Olale,0.9812683930684989,0.8907647232246161,0.9415600393700787,5.359375,0.188284075368187,0.9327905822373986,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale,0.9792032387260212,0.9693018730415174,0.9858294503301277,0.8912306265185017,0.8664522007463854,0.9422157972440944,0.930425688976378,0.9523991141732283,200,0.7965288839747098,0.30275280657746606,0.6355579181200776,0.20808907875564786,0.8132209645669292,0.6002891240157481,16.219609375
5,An_spxyG70_30_byCultivar_MicroNIR,0.9844130242241285,0.9010042111661309,0.9468503937007874,4.953125,0.15331670779476805,0.9404557557599885,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR,0.9826925272654735,0.9747139791661592,0.9882951472600834,0.9013120648232401,0.8806475808388373,0.9474257709973752,0.9369955708661417,0.9564530019685039,200,0.8344744225049378,0.5297133914943482,0.6700866323677608,0.3938397458517235,0.8308612204724409,0.6925012303149607,14.7689453125
6,All_manure_CaO_SPXY_strat_Manure_type,0.9865761731511913,0.9101214423470818,0.9515255905511811,4.53125,0.1261014262578619,0.9468195078170624,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type,0.985027359574539,0.9772817242090925,0.9902590654500247,0.9103430770127924,0.8897821544687795,0.9520898950131234,0.941775344488189,0.9609990157480315,200,0.8601581119080504,0.5585094400563385,0.7038295178380872,0.4012958913779646,0.8480745570866142,0.6965674212598426,13.4651953125
7,DIESEL_bp50_246_b-a,0.9883730746408677,0.9224420250240425,0.9578001968503937,4.015625,0.12687669425923,0.9530780617057163,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a,0.9871255340020026,0.9795360469087852,0.9924354839752412,0.9229355855206484,0.9043921368510105,0.9583472769028871,0.9493110236220472,0.9677718996062992,200,0.9019300470210464,0.7465727967779088,0.74437490597058,0.5636552645236239,0.8682215797244095,0.7768700787401575,11.59421875
8,Malaria_Sporozoite_229_Maia,0.9893115836991702,0.924166906598817,0.9587844488188977,3.84375,0.10000429794327842,0.9556098252078185,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia,0.9880580955258744,0.981012161075071,0.9927624994198639,0.9246949151410644,0.9067870970891013,0.9593290682414698,0.9507566437007874,0.9672859251968504,200,0.8969022926496804,0.6874378560497367,0.7469249479806589,0.5040596784798133,0.8698049950787401,0.7478654035433071,11.4964453125
9,Chla+b_spxyG_block2deg,0.9945306096819245,0.9458511321102676,0.968873031496063,2.5703125,0.12537864603620166,0.9659605606528588,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia|Chla+b_spxyG_block2deg,0.9934503179038283,0.9899667240827491,0.9960385794758687,0.9461254524366753,0.930067037399128,0.969232693569554,0.9602239173228347,0.9766363188976378,200,0.9168794034028355,0.7593295459655137,0.7726953279226553,0.5674054579073745,0.8827042322834646,0.7791338582677165,10.476484375
10,DIESEL_bp50_246_hla-b,0.9951600974649323,0.9490544836062773,0.9707185039370079,2.4609375,0.06382984882008787,0.9708044428079541,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia|Chla+b_spxyG_block2deg|DIESEL_bp50_246_hla-b,0.994122385280481,0.9909934454455837,0.9963187684989925,0.9493083363955956,0.9358385794877186,0.9710428969816273,0.963693405511811,0.9773622047244095,200,0.9227997951505581,0.8079627233731171,0.7815589948519159,0.6229954475140428,0.887209030511811,0.8078001968503936,10.0074609375
11,Beef_Marbling_RandomSplit,0.9952459367080697,0.9502865418739734,0.9710875984251969,2.453125,0.05228679348520518,0.9718962770987187,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia|Chla+b_spxyG_block2deg|DIESEL_bp50_246_hla-b|Beef_Marbling_RandomSplit,0.9942121630163818,0.9906750710347787,0.9964757260987919,0.9503260074725705,0.9358592960792168,0.971402969160105,0.9636995570866143,0.9778543307086615,200,0.9347584424495022,0.8074720111925299,0.8036946059024314,0.6242996450216112,0.8983156988188977,0.8086183562992125,9.1858984375
12,All_manure_Total_N_SPXY_strat_Manure_type,0.9954748413564359,0.9507793651810519,0.9724409448818898,2.4765625,0.0552472853656905,0.9723936652931723,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia|Chla+b_spxyG_block2deg|DIESEL_bp50_246_hla-b|Beef_Marbling_RandomSplit|All_manure_Total_N_SPXY_strat_Manure_type,0.9944435782584136,0.9915373424207,0.9965405119370704,0.9508029773931126,0.9394516839147761,0.9727550853018372,0.9659079724409448,0.9785925196850394,200,0.9393918434583513,0.8399439243442894,0.8093873571361325,0.6800311757847451,0.9011657234251967,0.8362020177165355,8.878125
