dataset,dataset_group,best_model_class,linear_best_ratio,nonlinear_best_ratio,nonlinear_to_linear_ratio,behavior
ALPINE_P_291_KS,ALPINE,TabPFN,0.919201228128,0.72735380218,0.7912889799563182,nonlinear_strong
All_manure_CaO_SPXY_strat_Manure_type,MANURE21,TabPFN,0.899811343543,0.692723568728,0.7698542296659725,nonlinear_strong
All_manure_K2O_SPXY_strat_Manure_type,MANURE21,AOM-Ridge,0.905669483898,0.927951107568,1.024602378755327,linear
All_manure_MgO_SPXY_strat_Manure_type,MANURE21,TabPFN,0.915900822484,0.90803313779,0.9914098944985525,tie
All_manure_P2O5_SPXY_strat_Manure_type,MANURE21,TabPFN,1.0,0.99772831372,0.99772831372,tie
All_manure_Total_N_SPXY_strat_Manure_type,MANURE21,TabPFN,0.879301745333,0.855023372363,0.9723890312980039,nonlinear_mild
An_spxyG70_30_byCultivar_ASD,GRAPEVINE_LeafTraits,CatBoost,0.946756089642,0.904186735203,0.9550366193524069,nonlinear_mild
An_spxyG70_30_byCultivar_MicroNIR,GRAPEVINE_LeafTraits,AOM-PLS,0.886217643155,0.945326779259,1.0666982163586443,linear
An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,GRAPEVINE_LeafTraits,PLS,1.0,1.02631252263,1.02631252263,linear
An_spxyG70_30_byCultivar_NeoSpectra,GRAPEVINE_LeafTraits,TabPFN,0.91719702302,0.847987027754,0.924541844850176,nonlinear_mild
Beef_Marbling_RandomSplit,BEEFMARBLING,TabPFN,0.961498888521,0.838964987906,0.8725594984269983,nonlinear_mild
Beer_OriginalExtract_60_KS,BEER,TabPFN,0.376719221377,0.220321540599,0.5848428434144438,nonlinear_strong
Beer_OriginalExtract_60_YbaseSplit,BEER,Meta-selector/MoE,0.732391611327,0.538056169448,0.7346563793557261,nonlinear_strong
Biscuit_Fat_40_RandomSplit,BISCUIT,Ridge,0.453897036132,0.474798361712,1.0460486055562646,linear
Biscuit_Sucrose_40_RandomSplit,BISCUIT,AOM-PLS,0.79496963604,1.00317680784,1.2619058167267205,linear
Brix_spxy70,PEACH,TabPFN,0.512883260891,0.231946235501,0.4522398237330934,nonlinear_strong
C_woOutlier,COLZA,TabPFN,0.867616967469,0.496674014945,0.5724577014600009,nonlinear_strong
Ccar_spxyG_block2deg,ECOSIS_LeafTraits,NICON/CNN,0.149125763762,0.107212777776,0.7189420196171347,nonlinear_strong
Chla+b_spxyG_block2deg,ECOSIS_LeafTraits,AOM-PLS,0.331107504307,0.355833673184,1.0746771624181437,linear
Chla+b_spxyG_species,ECOSIS_LeafTraits,NICON/CNN,0.377157941593,0.341795640175,0.9062400720805709,nonlinear_mild
Corn_Oil_80_ZhengChenPelegYbaseSplit,CORN,AOM-Ridge,0.742328532676,0.769159978453,1.0361449743555944,linear
Corn_Starch_80_ZhengChenPelegYbaseSplit,CORN,TabPFN,1.0,0.758574954286,0.758574954286,nonlinear_strong
DIESEL_bp50_246_b-a,DIESEL,AOM-Ridge,0.867105268966,0.885008285014,1.020646877246345,linear
DIESEL_bp50_246_hla-b,DIESEL,AOM-Ridge,0.891870225415,0.930597453629,1.0434224925447866,linear
DIESEL_bp50_246_hlb-a,DIESEL,Multi-kernel ridge,0.851855888282,0.847098464934,0.9944152251414325,tie
Escitalopramt_310_Zhao,TABLET,TabPFN,0.957424791751,0.823916349198,0.8605546423037248,nonlinear_mild
Firmness_spxy70,PLUMS,NICON/CNN,0.542466896385,0.432333359755,0.796976483977308,nonlinear_strong
Fv_Fm_grp70_30,FUSARIUM,TabPFN,0.881176877768,0.809761088559,0.9189540817390777,nonlinear_mild
LMA_spxyG70_30_byCultivar_ASD,GRAPEVINE_LeafTraits,TabPFN,0.966110323426,0.958789814469,0.9924226987544857,tie
LP_spxyG,PHOSPHORUS,Ridge,0.806701606056,0.846995358858,1.0499487697799412,linear
LUCAS_SOC_Cropland_8731_NocitaKS,LUCAS,TabPFN,0.924636013106,0.68516420963,0.741009651277181,nonlinear_strong
LUCAS_pH_Organic_1763_LiuRandomOrganic,LUCAS,TabPFN,0.985155371422,0.762702325026,0.774194961679085,nonlinear_strong
MP_spxyG,PHOSPHORUS,AOM-PLS,0.892139081442,0.896083144528,1.0044209060762421,tie
Malaria_Oocist_333_Maia,MALARIA,AOM-PLS,0.972248462979,0.978399355402,1.0063264614522027,tie
Malaria_Sporozoite_229_Maia,MALARIA,NICON/CNN,0.994046033008,0.974793436005,0.980632087082787,tie
Milk_Fat_1224_KS,MILK,AOM-PLS,0.916910877031,0.93682977967,1.0217239244707166,linear
Milk_Lactose_1224_KS,MILK,TabPFN,0.952818572933,0.85975399895,0.9023270781797155,nonlinear_mild
