ID;Rep;Tannin;trait_class;CSplit
108308002014;1;0.209469378;[0,1];Test
108308002014;2;0.209469378;[0,1];Test
108308002014;3;0.209469378;[0,1];Test
108308002014;4;0.209469378;[0,1];Test
108308002028;1;1.267516814;(1,Inf];Test
108308002028;2;1.267516814;(1,Inf];Test
108308002028;3;1.267516814;(1,Inf];Test
108308002028;4;1.267516814;(1,Inf];Test
108308002058;1;0.252277032;[0,1];Test
108308002058;2;0.252277032;[0,1];Test
108308002058;3;0.252277032;[0,1];Test
108308002058;4;0.252277032;[0,1];Test
108308002142;1;0.209412085;[0,1];Test
108308002142;2;0.209412085;[0,1];Test
108308002142;3;0.209412085;[0,1];Test
108308002142;4;0.209412085;[0,1];Test
108308002902;1;0.334693031;[0,1];Test
108308002902;2;0.334693031;[0,1];Test
108308002902;3;0.334693031;[0,1];Test
108308002902;4;0.334693031;[0,1];Test
108308002948;1;0.554213645;[0,1];Test
108308002948;2;0.554213645;[0,1];Test
108308002948;3;0.554213645;[0,1];Test
108308002948;4;0.554213645;[0,1];Test
108308002974;1;0.231179573;[0,1];Test
108308002974;2;0.231179573;[0,1];Test
108308002974;3;0.231179573;[0,1];Test
108308002974;4;0.231179573;[0,1];Test
108308002988;1;4.326678063;(1,Inf];Test
108308002988;2;4.326678063;(1,Inf];Test
108308002988;3;4.326678063;(1,Inf];Test
108308002988;4;4.326678063;(1,Inf];Test
108308002998;1;3.133582014;(1,Inf];Test
108308002998;2;3.133582014;(1,Inf];Test
108308002998;3;3.133582014;(1,Inf];Test
108308002998;4;3.133582014;(1,Inf];Test
108308003022;1;0.16795907;[0,1];Test
108308003022;2;0.16795907;[0,1];Test
108308003022;3;0.16795907;[0,1];Test
108308003022;4;0.16795907;[0,1];Test
108308003030;1;4.113905457;(1,Inf];Test
108308003030;2;4.113905457;(1,Inf];Test
108308003030;3;4.113905457;(1,Inf];Test
108308003030;4;4.113905457;(1,Inf];Test
108308003088;1;2.416351559;(1,Inf];Test
108308003088;2;2.416351559;(1,Inf];Test
108308003088;3;2.416351559;(1,Inf];Test
108308003088;4;2.416351559;(1,Inf];Test
108308003135;1;2.266167875;(1,Inf];Test
108308003135;2;2.266167875;(1,Inf];Test
108308003135;3;2.266167875;(1,Inf];Test
108308003135;4;2.266167875;(1,Inf];Test
108308003137;1;0.170902626;[0,1];Test
108308003137;2;0.170902626;[0,1];Test
108308003137;3;0.170902626;[0,1];Test
108308003137;4;0.170902626;[0,1];Test
108308003149;1;0.305882208;[0,1];Test
108308003149;2;0.305882208;[0,1];Test
108308003149;3;0.305882208;[0,1];Test
108308003149;4;0.305882208;[0,1];Test
108308003161;1;2.375985055;(1,Inf];Test
108308003161;2;2.375985055;(1,Inf];Test
108308003161;3;2.375985055;(1,Inf];Test
108308003161;4;2.375985055;(1,Inf];Test
108308003173;1;1.457889184;(1,Inf];Test
108308003173;2;1.457889184;(1,Inf];Test
108308003173;3;1.457889184;(1,Inf];Test
108308003173;4;1.457889184;(1,Inf];Test
108308003175;1;0.134654547;[0,1];Test
108308003175;2;0.134654547;[0,1];Test
108308003175;3;0.134654547;[0,1];Test
108308003175;4;0.134654547;[0,1];Test
108308003189;1;0.905470579;[0,1];Test
108308003189;2;0.905470579;[0,1];Test
108308003189;3;0.905470579;[0,1];Test
108308003189;4;0.905470579;[0,1];Test
108308003205;1;0.15385721;[0,1];Test
108308003205;2;0.15385721;[0,1];Test
108308003205;3;0.15385721;[0,1];Test
108308003205;4;0.15385721;[0,1];Test
108308003207;1;9.135444717;(1,Inf];Test
108308003207;2;9.135444717;(1,Inf];Test
108308003207;3;9.135444717;(1,Inf];Test
108308003207;4;9.135444717;(1,Inf];Test
108308003259;1;0.338649027;[0,1];Test
108308003259;2;0.338649027;[0,1];Test
108308003259;3;0.338649027;[0,1];Test
