ID;Rep;Tannin;trait_class;CSplit
108308002006;1;0.776025303;[0,1];Train
108308002006;2;0.776025303;[0,1];Train
108308002006;3;0.776025303;[0,1];Train
108308002006;4;0.776025303;[0,1];Train
108308002008;1;0.522733046;[0,1];Train
108308002008;2;0.522733046;[0,1];Train
108308002008;3;0.522733046;[0,1];Train
108308002008;4;0.522733046;[0,1];Train
108308002010;1;0.416925354;[0,1];Train
108308002010;2;0.416925354;[0,1];Train
108308002010;3;0.416925354;[0,1];Train
108308002010;4;0.416925354;[0,1];Train
108308002020;1;0.718904695;[0,1];Train
108308002020;2;0.718904695;[0,1];Train
108308002020;3;0.718904695;[0,1];Train
108308002020;4;0.718904695;[0,1];Train
108308002022;1;0.198330511;[0,1];Train
108308002022;2;0.198330511;[0,1];Train
108308002022;3;0.198330511;[0,1];Train
108308002022;4;0.198330511;[0,1];Train
108308002070;1;0.244719187;[0,1];Train
108308002070;2;0.244719187;[0,1];Train
108308002070;3;0.244719187;[0,1];Train
108308002070;4;0.244719187;[0,1];Train
108308002072;1;0.242909913;[0,1];Train
108308002072;2;0.242909913;[0,1];Train
108308002072;3;0.242909913;[0,1];Train
108308002072;4;0.242909913;[0,1];Train
108308002078;1;0.27469714;[0,1];Train
108308002078;2;0.27469714;[0,1];Train
108308002078;3;0.27469714;[0,1];Train
108308002078;4;0.27469714;[0,1];Train
108308002090;1;0.402934988;[0,1];Train
108308002090;2;0.402934988;[0,1];Train
108308002090;3;0.402934988;[0,1];Train
108308002090;4;0.402934988;[0,1];Train
108308002104;1;0.506370542;[0,1];Train
108308002104;2;0.506370542;[0,1];Train
108308002104;3;0.506370542;[0,1];Train
108308002104;4;0.506370542;[0,1];Train
108308002122;1;8.932065837;(1,Inf];Train
108308002122;2;8.932065837;(1,Inf];Train
108308002122;3;8.932065837;(1,Inf];Train
108308002122;4;8.932065837;(1,Inf];Train
108308002124;1;0.315233703;[0,1];Train
108308002124;2;0.315233703;[0,1];Train
108308002124;3;0.315233703;[0,1];Train
108308002124;4;0.315233703;[0,1];Train
108308002126;1;0.57768976;[0,1];Train
108308002126;2;0.57768976;[0,1];Train
108308002126;3;0.57768976;[0,1];Train
108308002126;4;0.57768976;[0,1];Train
108308002848;1;0.20640268;[0,1];Train
108308002848;2;0.20640268;[0,1];Train
108308002848;3;0.20640268;[0,1];Train
108308002848;4;0.20640268;[0,1];Train
108308002856;1;0.431383218;[0,1];Train
108308002856;2;0.431383218;[0,1];Train
108308002856;3;0.431383218;[0,1];Train
108308002856;4;0.431383218;[0,1];Train
108308002858;1;0.50652814;[0,1];Train
108308002858;2;0.50652814;[0,1];Train
108308002858;3;0.50652814;[0,1];Train
108308002858;4;0.50652814;[0,1];Train
108308002860;1;0.399559818;[0,1];Train
108308002860;2;0.399559818;[0,1];Train
108308002860;3;0.399559818;[0,1];Train
108308002860;4;0.399559818;[0,1];Train
108308002862;1;0.526260908;[0,1];Train
108308002862;2;0.526260908;[0,1];Train
108308002862;3;0.526260908;[0,1];Train
108308002862;4;0.526260908;[0,1];Train
108308002876;1;0.514608614;[0,1];Train
108308002876;2;0.514608614;[0,1];Train
108308002876;3;0.514608614;[0,1];Train
108308002876;4;0.514608614;[0,1];Train
108308002878;1;0.621439164;[0,1];Train
108308002878;2;0.621439164;[0,1];Train
108308002878;3;0.621439164;[0,1];Train
108308002878;4;0.621439164;[0,1];Train
108308002880;1;0.590004976;[0,1];Train
108308002880;2;0.590004976;[0,1];Train
108308002880;3;0.590004976;[0,1];Train
108308002880;4;0.590004976;[0,1];Train
108308002886;1;0.525807706;[0,1];Train
108308002886;2;0.525807706;[0,1];Train
108308002886;3;0.525807706;[0,1];Train
108308002886;4;0.525807706;[0,1];Train
108308002892;1;0.654934431;[0,1];Train
108308002892;2;0.654934431;[0,1];Train
108308002892;3;0.654934431;[0,1];Train
108308002892;4;0.654934431;[0,1];Train
108308002894;1;0.72642359;[0,1];Train
108308002894;2;0.72642359;[0,1];Train
108308002894;3;0.72642359;[0,1];Train
108308002894;4;0.72642359;[0,1];Train
108308002900;1;0.219295859;[0,1];Train
108308002900;2;0.219295859;[0,1];Train
108308002900;3;0.219295859;[0,1];Train
108308002900;4;0.219295859;[0,1];Train
108308002906;1;0.447368904;[0,1];Train
108308002906;2;0.447368904;[0,1];Train
108308002906;3;0.447368904;[0,1];Train
108308002906;4;0.447368904;[0,1];Train
108308002910;1;0.301631031;[0,1];Train
108308002910;2;0.301631031;[0,1];Train
108308002910;3;0.301631031;[0,1];Train
108308002910;4;0.301631031;[0,1];Train
108308002932;1;0.308896622;[0,1];Train
108308002932;2;0.308896622;[0,1];Train
108308002932;3;0.308896622;[0,1];Train
108308002932;4;0.308896622;[0,1];Train
108308002952;1;0.503607427;[0,1];Train
108308002952;2;0.503607427;[0,1];Train
108308002952;3;0.503607427;[0,1];Train
108308002952;4;0.503607427;[0,1];Train
108308002954;1;1.842948116;(1,Inf];Train
108308002954;2;1.842948116;(1,Inf];Train
108308002954;3;1.842948116;(1,Inf];Train
108308002954;4;1.842948116;(1,Inf];Train
108308002972;1;4.916425236;(1,Inf];Train
108308002972;2;4.916425236;(1,Inf];Train
108308002972;3;4.916425236;(1,Inf];Train
108308002972;4;4.916425236;(1,Inf];Train
108308002976;1;6.2160334;(1,Inf];Train
108308002976;2;6.2160334;(1,Inf];Train
108308002976;3;6.2160334;(1,Inf];Train
108308002976;4;6.2160334;(1,Inf];Train
108308002980;1;1.203648954;(1,Inf];Train
108308002980;2;1.203648954;(1,Inf];Train
108308002980;3;1.203648954;(1,Inf];Train
108308002980;4;1.203648954;(1,Inf];Train
108308002984;1;0.142520926;[0,1];Train
108308002984;2;0.142520926;[0,1];Train
108308002984;3;0.142520926;[0,1];Train
108308002984;4;0.142520926;[0,1];Train
108308002990;1;3.772437589;(1,Inf];Train
108308002990;2;3.772437589;(1,Inf];Train
108308002990;3;3.772437589;(1,Inf];Train
108308002990;4;3.772437589;(1,Inf];Train
108308002992;1;0.825539773;[0,1];Train
108308002992;2;0.825539773;[0,1];Train
108308002992;3;0.825539773;[0,1];Train
108308002992;4;0.825539773;[0,1];Train
108308003000;1;1.348980494;(1,Inf];Train
108308003000;2;1.348980494;(1,Inf];Train
