dataset,paper Ridge,paper PLS,paper Nicon,paper CatBoost,paper TabPFN-raw,paper TabPFN-opt,AOM-PLS-best,AOM-Ridge-best,V2L-learnableRMS,V2H-frozenRMS,V2L-perbranchInit1,V2L-tiedGlobalRMS,V2M-deeper,V2M-deeper-dilated
ALPINE_P_291_KS,0.0589773153713793,0.0622707496529526,0.0664148023614497,0.0603528865617188,0.0595929243596609,0.0434172262265824,0.0570306404056327,0.0580812657263183,0.0685143962930924,0.0670170072724203,0.0682468197485826,0.067850713092345,0.0697255507606588,0.0716568243786808
Beer_OriginalExtract_60_YbaseSplit,0.1910032468197337,0.2559337959455767,,0.8248772788864936,0.2248612839143847,0.1518057882280002,0.2074260424079046,0.258492607083256,0.6315723481809828,0.6334165271370611,0.6661664178827512,0.6674933834834137,0.4641425308548981,0.2916980089205924
N_woOutlier,0.2263305091990318,0.2380378882249404,0.2284955254602308,0.2540808169377002,0.209232780207432,0.1774593952768322,0.2417774742364329,,0.271574442711565,0.298159990127914,0.2790765725471569,0.2780404766559298,0.2990460626247614,0.2764013812845329
Chla+b_spxyG_block2deg,72.88079011425634,68.48299411322476,47.58857808223682,55.892551960924,59.89801078051081,70.2517756389499,13.951962642419916,,21.22032114583747,27.936326819192104,33.20100885542667,35.2620690892634,34.29533700131679,54.63816036421341
Chla+b_spxyG_species,63.69881633405782,65.10231168682624,26.784691491905424,26.549529540829685,60.69883695501996,49.00256863506216,14.019228997409694,,25.04411081508368,21.622665020044145,48.2263507976445,28.827659618163924,32.54794319446868,31.279727515627435
grapevine_chloride_556_KS,914.9612915669088,915.735138197346,1073.719514334624,875.196391770851,1004.7711085771856,771.2750618484285,916.5580773140164,938.8161798346372,1215.3102520087782,1209.8212130361746,1180.136018446145,1171.951591800566,1189.444975057507,1256.1347461460043
An_spxyG70_30_byCultivar_NeoSpectra,4.802865456056688,4.927187099416517,4.11519325075458,4.8041700890023495,4.374574398786281,4.484544769962023,4.3170571697034505,4.686971712244227,4.341744876751783,4.341752011237544,4.317281086980189,4.317295604731468,4.30215797207468,4.330757431707156
TIC_spxy70,2.506867785916912,2.787786960121247,4.484732080735033,3.8836388033062335,3.4640680128660866,2.9618158540951023,2.948120757463263,3.649992484426337,5.478935746129427,5.537443636953601,6.209742360683433,6.150136148459316,5.210566416208398,4.868341332727736
All_manure_MgO_SPXY_strat_Manure_type,0.7736696013360851,0.7826806868853714,1.0005233617630638,0.8518912219363179,0.7834426914589188,0.7508986236686556,0.7168578848596966,0.7376199328405435,1.0360830842223865,1.028489850788629,1.0101328886844756,1.0132867523549651,1.028402215863009,1.042276727156654
All_manure_Total_N_SPXY_strat_Manure_type,1.7064692893113451,1.7584969529696053,1.8247846564270245,1.6932689102057146,1.7949795973712188,1.5941884695680253,1.5485802707770282,1.6620922165015766,1.9722697106392235,2.1258509854706804,2.0141832102948243,2.01341738925002,2.0857338798046285,2.1178862676811248
