dataset,NiconV1c-concat-bjerrum,PLS-baseline,Ridge-baseline,Stack-Ridge-PLS,Stack-Ridge-PLS-V1aHead,Stack-Ridge-PLS-V1c
ALPINE_P_291_KS,0.7266381180078039,0.05387300313457466,0.0,0.003922950748707743,0.0045963861070206224,0.0038092350074481196
All_manure_CaO_SPXY_strat_Manure_type,0.5638695324199068,0.13859832340812805,0.0,-0.011751449383186063,-0.01620402537391097,-0.002566607138435373
All_manure_K2O_SPXY_strat_Manure_type,0.5633406623913024,0.0429813783552615,0.0,0.010481167793961133,0.031156817389126346,0.009722587825877982
All_manure_MgO_SPXY_strat_Manure_type,1.268501687106924,0.04122830938997346,0.0,0.003247248334471875,0.0013343329531887438,0.006647908459552987
All_manure_P2O5_SPXY_strat_Manure_type,1.3358796376905184,0.02981482648569922,0.0,-0.005723747718681782,-0.0029421154737835353,0.003727834525518059
All_manure_Total_N_SPXY_strat_Manure_type,1.1308598574455573,0.04985718792843752,0.0,0.01209570658338599,-0.018584418861895435,0.002008814149778715
An_spxyG70_30_byCultivar_ASD,-0.010263828295635768,0.1309205678447558,0.0,-0.10884732118623175,-0.11755195740669722,-0.10799374353361335
An_spxyG70_30_byCultivar_MicroNIR,0.1505106929597977,0.04288229421222689,0.0,0.1460216857197738,,0.12917195161369044
An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,0.03984808728778799,-0.1258776859387878,0.0,-0.07323490244447928,-0.05997057563569885,-0.0711909757369047
An_spxyG70_30_byCultivar_NeoSpectra,-0.050549236050623225,0.020197480848345162,0.0,-0.08852880398781315,-0.08348456531881265,-0.02787473473565316
Beer_OriginalExtract_60_KS,0.6937105718367098,6.7682188027440304e-06,0.0,0.002370326703305059,0.007288155063003066,-0.05653180754022402
Beer_OriginalExtract_60_YbaseSplit,3.370313362858397,5.043936712234576e-05,0.0,-0.2381844429600123,-0.2695793808516932,-0.20033131015236183
Biscuit_Fat_40_RandomSplit,2.138158973006639,0.5801727592904036,0.0,0.16224728468034422,0.2294798839664769,0.16159525555541832
Biscuit_Sucrose_40_RandomSplit,4.105934153959335,0.17939305895282143,0.0,0.6591548515997854,0.22307340361121497,1.0281093571392348
Corn_Oil_80_ZhengChenPelegYbaseSplit,2.5907531157878236,-0.15579551280014114,0.0,-0.2079274340595506,-0.19871094599985306,-0.2154698141236614
Corn_Starch_80_ZhengChenPelegYbaseSplit,5.051257622447286,-0.0709319910637265,0.0,-0.05110492969972713,-0.04593315247219165,-0.06285376792392783
DIESEL_bp50_246_b-a,2.051412780727003,0.028824953003838694,0.0,0.0532253087478749,0.03137231845482469,0.05361970425467577
DIESEL_bp50_246_hla-b,2.3644489358312746,0.0738130230310976,0.0,-0.006928588069465613,0.010258187463340507,0.07292337780827718
DIESEL_bp50_246_hlb-a,1.8297157616476372,0.026582284188728877,0.0,-0.0010242075117919969,-0.029926241532659215,0.004200790154062384
Escitalopramt_310_Zhao,2.4842429126730785,0.0543384386873873,0.0,0.033912573971827564,0.12655150980913188,0.03420602843989773
Firmness_spxy70,-0.167658194817216,,0.0,,,
Fv_Fm_grp70_30,0.19922149146035184,0.003876403884170987,0.0,-0.0009085268793603829,-0.005075295549025194,-0.003745663025457757
LP_spxyG,0.13759917526472232,0.1588495406244934,0.0,0.05422108615114163,-0.11363219354836529,0.03975051934893692
MP_spxyG,0.026854568534459666,0.0003756396323795208,0.0,-0.03109904843129707,-0.04366494848674385,-0.03997406356559541
Milk_Fat_1224_KS,2.4227745034340282,0.073267445544412,0.0,0.009885198446313526,-0.0003066252154525495,-0.01235106079965509
NP_spxyG,0.4083219517589991,0.027691615144946224,0.0,0.011007803473270794,-0.12806975169036716,-0.04567696977352942
Pi_spxyG,0.03534980885552885,0.04290486649392844,0.0,0.00819266283751885,-0.03190758523189463,-0.020440350451376488
Quartz_spxy70,25753.490525797948,-0.8278483252950426,0.0,7.236566249358203,91.33678760849855,58.27127698196152
Rd25_CBtestSite,0.37742567760456325,-0.024030905483850007,0.0,0.005830895623933907,0.04271665103283051,-0.0012516021179743708
Rd25_GTtestSite,0.8938964508512852,0.16792390677548985,0.0,-0.024759889044017158,0.018240701658556846,0.06351682755023869
Rd25_XSBNtestSite,0.19740516243928163,0.06812416137803967,0.0,-0.0022724261835125326,-0.001767446551580787,-0.003778035425812676
Rd25_spxy70,0.3084566390032011,0.025758331433093584,0.0,0.006514075172686873,-0.009208440137148721,0.04777469639020371
Rice_Amylose_313_YbasedSplit,0.42122271201779293,0.01960751234519842,0.0,0.026038293170192794,0.032785857969065635,0.026546678019350844
TIC_spxy70,0.24082867226472415,-0.03193659980455521,0.0,0.06431463681200866,0.06106423263573424,0.060852926723884204
V25_spxyG,-0.17456974931530178,-0.07381431944169692,0.0,-0.019898154574210403,-0.21166346201855468,-0.0375684264303775
WOOD_Density_402_Olale,0.30847271747828553,0.011620103724109931,0.0,0.027611086849283817,0.031877746835059506,0.028602363488655635
WOOD_N_402_Olale,0.3557429042483675,0.04703868743197481,0.0,0.010725019799653124,0.00817764004792787,0.021076955574827583
WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,0.1631966273483041,0.046160401561614384,0.0,0.056578919191578425,0.054660559374968054,0.041563731879582066
grapevine_chloride_556_KS,0.3391850955752287,0.020653904306899618,0.0,0.00534848881734673,0.003360576309148211,0.004829479281741378
