Genotype;Rep_NIRS;ID;SLA;Split
ST;1;22_12_19_ST_1_10;32.75;Train
ST;2;22_12_19_ST_1_10;32.75;Train
ST;3;22_12_19_ST_1_10;32.75;Train
BE;1;22_12_19_BE_1_8;38.94;Train
BE;2;22_12_19_BE_1_8;38.94;Train
BE;3;22_12_19_BE_1_8;38.94;Train
ST;1;22_12_19_ST_1_5;33.34;Train
ST;2;22_12_19_ST_1_5;33.34;Train
ST;3;22_12_19_ST_1_5;33.34;Train
COL;1;22_12_19_COL_1_1;39.19;Train
COL;2;22_12_19_COL_1_1;39.19;Train
COL;3;22_12_19_COL_1_1;39.19;Train
BE;1;22_12_19_BE_1_3;38;Train
BE;2;22_12_19_BE_1_3;38;Train
BE;3;22_12_19_BE_1_3;38;Train
MT;1;22_12_19_MT_1_4;36.65;Train
MT;2;22_12_19_MT_1_4;36.65;Train
MT;3;22_12_19_MT_1_4;36.65;Train
BE;1;22_12_19_BE_1_7;35.36;Train
BE;2;22_12_19_BE_1_7;35.36;Train
BE;3;22_12_19_BE_1_7;35.36;Train
BE;1;22_12_19_BE_1_10;34.16;Train
BE;2;22_12_19_BE_1_10;34.16;Train
BE;3;22_12_19_BE_1_10;34.16;Train
BE;1;22_12_19_BE_1_4;34.82;Train
BE;2;22_12_19_BE_1_4;34.82;Train
BE;3;22_12_19_BE_1_4;34.82;Train
ST;1;22_12_19_ST_1_8;26.16;Train
ST;2;22_12_19_ST_1_8;26.16;Train
ST;3;22_12_19_ST_1_8;26.16;Train
ST;1;22_12_19_ST_1_7;32.28;Train
ST;2;22_12_19_ST_1_7;32.28;Train
ST;3;22_12_19_ST_1_7;32.28;Train
COL;1;22_12_19_COL_2_7;40.47;Train
COL;2;22_12_19_COL_2_7;40.47;Train
COL;3;22_12_19_COL_2_7;40.47;Train
COL;1;22_12_19_COL_2_4;37.66;Train
COL;2;22_12_19_COL_2_4;37.66;Train
COL;3;22_12_19_COL_2_4;37.66;Train
COL;1;22_12_19_COL_2_1;33.89;Train
COL;2;22_12_19_COL_2_1;33.89;Train
COL;3;22_12_19_COL_2_1;33.89;Train
COL;1;22_12_19_COL_2_2;33.17;Train
COL;2;22_12_19_COL_2_2;33.17;Train
COL;3;22_12_19_COL_2_2;33.17;Train
COL;1;22_12_19_COL_2_8;39.67;Train
COL;2;22_12_19_COL_2_8;39.67;Train
COL;3;22_12_19_COL_2_8;39.67;Train
COL;1;22_12_19_COL_2_3;38.93;Train
COL;2;22_12_19_COL_2_3;38.93;Train
COL;3;22_12_19_COL_2_3;38.93;Train
MT;1;22_12_19_MT_2_9;40.62;Train
MT;2;22_12_19_MT_2_9;40.62;Train
MT;3;22_12_19_MT_2_9;40.62;Train
BE;1;22_12_19_BE_2_5;35.5;Train
BE;2;22_12_19_BE_2_5;35.5;Train
BE;3;22_12_19_BE_2_5;35.5;Train
ST;1;22_12_19_ST_2_1;31.06;Train
ST;2;22_12_19_ST_2_1;31.06;Train
ST;3;22_12_19_ST_2_1;31.06;Train
ST;1;22_12_19_ST_2_3;30.16;Train
ST;2;22_12_19_ST_2_3;30.16;Train
ST;3;22_12_19_ST_2_3;30.16;Train
BE;1;22_12_19_BE_2_8;38.5;Train
BE;2;22_12_19_BE_2_8;38.5;Train
BE;3;22_12_19_BE_2_8;38.5;Train
BE;1;22_12_19_BE_2_2;37.36;Train
BE;2;22_12_19_BE_2_2;37.36;Train
BE;3;22_12_19_BE_2_2;37.36;Train
BE;1;22_12_19_BE_2_10;38.06;Train
BE;2;22_12_19_BE_2_10;38.06;Train
BE;3;22_12_19_BE_2_10;38.06;Train
BE;1;22_12_19_BE_2_7;34.22;Train
BE;2;22_12_19_BE_2_7;34.22;Train
BE;3;22_12_19_BE_2_7;34.22;Train
BE;1;22_12_19_BE_2_3;35.93;Train
BE;2;22_12_19_BE_2_3;35.93;Train
BE;3;22_12_19_BE_2_3;35.93;Train
BE;1;22_12_19_BE_2_1;33.32;Train
BE;2;22_12_19_BE_2_1;33.32;Train
BE;3;22_12_19_BE_2_1;33.32;Train
MT;1;22_12_19_MT_2_1;38.67;Train
MT;2;22_12_19_MT_2_1;38.67;Train
MT;3;22_12_19_MT_2_1;38.67;Train
MT;1;22_12_19_MT_2_8;41.34;Train
MT;2;22_12_19_MT_2_8;41.34;Train
MT;3;22_12_19_MT_2_8;41.34;Train
COL;1;22_12_16_COL_5_9;63.06;Train
COL;2;22_12_16_COL_5_9;63.06;Train
COL;3;22_12_16_COL_5_9;63.06;Train
COL;1;22_12_16_COL_4_9;62.84;Train
COL;2;22_12_16_COL_4_9;62.84;Train
COL;3;22_12_16_COL_4_9;62.84;Train
COL;1;22_12_16_COL_4_1;59.82;Train
COL;2;22_12_16_COL_4_1;59.82;Train
COL;3;22_12_16_COL_4_1;59.82;Train
ST;1;22_12_16_ST_4_9;48.79;Train
ST;2;22_12_16_ST_4_9;48.79;Train
ST;3;22_12_16_ST_4_9;48.79;Train
ST;1;22_12_16_ST_4_10;49.06;Train
ST;2;22_12_16_ST_4_10;49.06;Train
ST;3;22_12_16_ST_4_10;49.06;Train
COL;1;22_12_16_COL_4_7;52.78;Train
COL;2;22_12_16_COL_4_7;52.78;Train
COL;3;22_12_16_COL_4_7;52.78;Train
