ID;Rep;Hardness;trait_class;CSplit
108308002271;1;38.08510758;(30,52];Test
108308002271;2;38.08510758;(30,52];Test
108308002271;3;38.08510758;(30,52];Test
108308002271;4;38.08510758;(30,52];Test
108308002278;1;77.46539166;(52,82];Test
108308002278;2;77.46539166;(52,82];Test
108308002278;3;77.46539166;(52,82];Test
108308002278;4;77.46539166;(52,82];Test
108308002540;1;26.8606622;[-Inf,30];Test
108308002540;2;26.8606622;[-Inf,30];Test
108308002540;3;26.8606622;[-Inf,30];Test
108308002540;4;26.8606622;[-Inf,30];Test
108308002608;1;86.45983742;(82, Inf];Test
108308002608;2;86.45983742;(82, Inf];Test
108308002608;3;86.45983742;(82, Inf];Test
108308002608;4;86.45983742;(82, Inf];Test
108308003027;1;92.31790489;(82, Inf];Test
108308003027;2;92.31790489;(82, Inf];Test
108308003027;3;92.31790489;(82, Inf];Test
108308003027;4;92.31790489;(82, Inf];Test
108308003060;1;90.51782196;(82, Inf];Test
108308003060;2;90.51782196;(82, Inf];Test
108308003060;3;90.51782196;(82, Inf];Test
108308003060;4;90.51782196;(82, Inf];Test
108308003146;1;76.18631164;(52,82];Test
108308003146;2;76.18631164;(52,82];Test
108308003146;3;76.18631164;(52,82];Test
108308003146;4;76.18631164;(52,82];Test
108308003173;1;66.62279811;(52,82];Test
108308003173;2;66.62279811;(52,82];Test
108308003173;3;66.62279811;(52,82];Test
108308003173;4;66.62279811;(52,82];Test
108308003198;1;96.62458504;(82, Inf];Test
108308003198;2;96.62458504;(82, Inf];Test
108308003198;3;96.62458504;(82, Inf];Test
108308003198;4;96.62458504;(82, Inf];Test
108308003325;1;67.15009512;(52,82];Test
108308003325;2;67.15009512;(52,82];Test
108308003325;3;67.15009512;(52,82];Test
108308003325;4;67.15009512;(52,82];Test
108308003343;1;70.24669609;(52,82];Test
108308003343;2;70.24669609;(52,82];Test
108308003343;3;70.24669609;(52,82];Test
108308003343;4;70.24669609;(52,82];Test
108308003358;1;37.69452837;(30,52];Test
108308003358;2;37.69452837;(30,52];Test
108308003358;3;37.69452837;(30,52];Test
108308003358;4;37.69452837;(30,52];Test
108308003483;1;80.49944187;(52,82];Test
108308003483;2;80.49944187;(52,82];Test
108308003483;3;80.49944187;(52,82];Test
108308003483;4;80.49944187;(52,82];Test
108308003618;1;70.58090194;(52,82];Test
108308003618;2;70.58090194;(52,82];Test
108308003618;3;70.58090194;(52,82];Test
108308003618;4;70.58090194;(52,82];Test
108308005434;1;51.84653641;(30,52];Test
108308005434;2;51.84653641;(30,52];Test
108308005434;3;51.84653641;(30,52];Test
108308005434;4;51.84653641;(30,52];Test
108308005435;1;64.59636147;(52,82];Test
108308005435;2;64.59636147;(52,82];Test
108308005435;3;64.59636147;(52,82];Test
108308005435;4;64.59636147;(52,82];Test
108308005438;1;75.7380032;(52,82];Test
108308005438;2;75.7380032;(52,82];Test
108308005438;3;75.7380032;(52,82];Test
108308005438;4;75.7380032;(52,82];Test
