ID;Rep;Hardness;trait_class;CSplit
108308002198;1;82.0906121;(82, Inf];Train
108308002198;2;82.0906121;(82, Inf];Train
108308002198;3;82.0906121;(82, Inf];Train
108308002198;4;82.0906121;(82, Inf];Train
108308002242;1;77.66032345;(52,82];Train
108308002242;2;77.66032345;(52,82];Train
108308002242;3;77.66032345;(52,82];Train
108308002242;4;77.66032345;(52,82];Train
108308002280;1;56.27633571;(52,82];Train
108308002280;2;56.27633571;(52,82];Train
108308002280;3;56.27633571;(52,82];Train
108308002280;4;56.27633571;(52,82];Train
108308002355;1;80.98386526;(52,82];Train
108308002355;2;80.98386526;(52,82];Train
108308002355;3;80.98386526;(52,82];Train
108308002355;4;80.98386526;(52,82];Train
108308002369;1;100.6360536;(82, Inf];Train
108308002369;2;100.6360536;(82, Inf];Train
108308002369;3;100.6360536;(82, Inf];Train
108308002369;4;100.6360536;(82, Inf];Train
108308002440;1;85.89742138;(82, Inf];Train
108308002440;2;85.89742138;(82, Inf];Train
108308002440;3;85.89742138;(82, Inf];Train
108308002440;4;85.89742138;(82, Inf];Train
108308002533;1;46.78479236;(30,52];Train
108308002533;2;46.78479236;(30,52];Train
108308002533;3;46.78479236;(30,52];Train
108308002533;4;46.78479236;(30,52];Train
108308002535;1;45.01511125;(30,52];Train
108308002535;2;45.01511125;(30,52];Train
108308002535;3;45.01511125;(30,52];Train
108308002535;4;45.01511125;(30,52];Train
108308002607;1;29.99370605;[-Inf,30];Train
108308002607;2;29.99370605;[-Inf,30];Train
108308002607;3;29.99370605;[-Inf,30];Train
108308002607;4;29.99370605;[-Inf,30];Train
108308002706;1;30.92556598;(30,52];Train
108308002706;2;30.92556598;(30,52];Train
108308002706;3;30.92556598;(30,52];Train
108308002706;4;30.92556598;(30,52];Train
108308002744;1;50.81266318;(30,52];Train
108308002744;2;50.81266318;(30,52];Train
108308002744;3;50.81266318;(30,52];Train
108308002744;4;50.81266318;(30,52];Train
108308002760;1;66.72243057;(52,82];Train
108308002760;2;66.72243057;(52,82];Train
108308002760;3;66.72243057;(52,82];Train
108308002760;4;66.72243057;(52,82];Train
108308002783;1;29.27657218;[-Inf,30];Train
108308002783;2;29.27657218;[-Inf,30];Train
108308002783;3;29.27657218;[-Inf,30];Train
108308002783;4;29.27657218;[-Inf,30];Train
108308002975;1;73.24844372;(52,82];Train
108308002975;2;73.24844372;(52,82];Train
108308002975;3;73.24844372;(52,82];Train
108308002975;4;73.24844372;(52,82];Train
108308002987;1;73.48944279;(52,82];Train
108308002987;2;73.48944279;(52,82];Train
108308002987;3;73.48944279;(52,82];Train
108308002987;4;73.48944279;(52,82];Train
108308002999;1;59.16137746;(52,82];Train
108308002999;2;59.16137746;(52,82];Train
108308002999;3;59.16137746;(52,82];Train
108308002999;4;59.16137746;(52,82];Train
108308003008;1;84.14871517;(82, Inf];Train
108308003008;2;84.14871517;(82, Inf];Train
108308003008;3;84.14871517;(82, Inf];Train
108308003008;4;84.14871517;(82, Inf];Train
108308003016;1;64.76342119;(52,82];Train
108308003016;2;64.76342119;(52,82];Train
108308003016;3;64.76342119;(52,82];Train
108308003016;4;64.76342119;(52,82];Train
108308003020;1;77.30609269;(52,82];Train
108308003020;2;77.30609269;(52,82];Train
108308003020;3;77.30609269;(52,82];Train
108308003020;4;77.30609269;(52,82];Train
108308003023;1;81.11116741;(52,82];Train
108308003023;2;81.11116741;(52,82];Train
108308003023;3;81.11116741;(52,82];Train
108308003023;4;81.11116741;(52,82];Train
108308003043;1;85.03990394;(82, Inf];Train
108308003043;2;85.03990394;(82, Inf];Train
108308003043;3;85.03990394;(82, Inf];Train
108308003043;4;85.03990394;(82, Inf];Train
108308003051;1;46.76822326;(30,52];Train
108308003051;2;46.76822326;(30,52];Train
108308003051;3;46.76822326;(30,52];Train
108308003051;4;46.76822326;(30,52];Train
108308003076;1;86.20494882;(82, Inf];Train
108308003076;2;86.20494882;(82, Inf];Train
108308003076;3;86.20494882;(82, Inf];Train
108308003076;4;86.20494882;(82, Inf];Train
108308003098;1;24.78561994;[-Inf,30];Train
108308003098;2;24.78561994;[-Inf,30];Train
108308003098;3;24.78561994;[-Inf,30];Train
108308003098;4;24.78561994;[-Inf,30];Train
108308003106;1;76.49655448;(52,82];Train
108308003106;2;76.49655448;(52,82];Train
108308003106;3;76.49655448;(52,82];Train
108308003106;4;76.49655448;(52,82];Train
108308003130;1;90.21231506;(82, Inf];Train
108308003130;2;90.21231506;(82, Inf];Train
108308003130;3;90.21231506;(82, Inf];Train
108308003130;4;90.21231506;(82, Inf];Train
108308003136;1;38.8755831;(30,52];Train
108308003136;2;38.8755831;(30,52];Train
108308003136;3;38.8755831;(30,52];Train
108308003136;4;38.8755831;(30,52];Train
108308003144;1;73.16286093;(52,82];Train
108308003144;2;73.16286093;(52,82];Train
108308003144;3;73.16286093;(52,82];Train
108308003144;4;73.16286093;(52,82];Train
108308003164;1;29.93701801;[-Inf,30];Train
108308003164;2;29.93701801;[-Inf,30];Train
108308003164;3;29.93701801;[-Inf,30];Train
108308003164;4;29.93701801;[-Inf,30];Train
108308003168;1;100.6863414;(82, Inf];Train
108308003168;2;100.6863414;(82, Inf];Train
108308003168;3;100.6863414;(82, Inf];Train
108308003168;4;100.6863414;(82, Inf];Train
108308003181;1;50.28659515;(30,52];Train
108308003181;2;50.28659515;(30,52];Train
108308003181;3;50.28659515;(30,52];Train
