ID;Rep;Tannin;Split
108308002072;1;0.242909913;Test
108308002072;2;0.242909913;Test
108308002072;3;0.242909913;Test
108308002072;4;0.242909913;Test
108308002078;1;0.27469714;Test
108308002078;2;0.27469714;Test
108308002078;3;0.27469714;Test
108308002078;4;0.27469714;Test
108308002104;1;0.506370542;Test
108308002104;2;0.506370542;Test
108308002104;3;0.506370542;Test
108308002104;4;0.506370542;Test
108308002858;1;0.50652814;Test
108308002858;2;0.50652814;Test
108308002858;3;0.50652814;Test
108308002858;4;0.50652814;Test
108308002906;1;0.447368904;Test
108308002906;2;0.447368904;Test
108308002906;3;0.447368904;Test
108308002906;4;0.447368904;Test
108308002948;1;0.554213645;Test
108308002948;2;0.554213645;Test
108308002948;3;0.554213645;Test
108308002948;4;0.554213645;Test
108308002992;1;0.825539773;Test
108308002992;2;0.825539773;Test
108308002992;3;0.825539773;Test
108308002992;4;0.825539773;Test
108308003016;1;0.405523766;Test
108308003016;2;0.405523766;Test
108308003016;3;0.405523766;Test
108308003016;4;0.405523766;Test
108308003020;1;0.547383146;Test
108308003020;2;0.547383146;Test
108308003020;3;0.547383146;Test
108308003020;4;0.547383146;Test
108308003032;1;0.235770736;Test
108308003032;2;0.235770736;Test
108308003032;3;0.235770736;Test
108308003032;4;0.235770736;Test
108308003054;1;0.338647411;Test
108308003054;2;0.338647411;Test
108308003054;3;0.338647411;Test
108308003054;4;0.338647411;Test
108308003056;1;0.182251348;Test
108308003056;2;0.182251348;Test
108308003056;3;0.182251348;Test
108308003056;4;0.182251348;Test
108308003115;1;5.215295796;Test
108308003115;2;5.215295796;Test
108308003115;3;5.215295796;Test
108308003115;4;5.215295796;Test
108308003137;1;0.170902626;Test
108308003137;2;0.170902626;Test
108308003137;3;0.170902626;Test
108308003137;4;0.170902626;Test
108308003149;1;0.305882208;Test
108308003149;2;0.305882208;Test
108308003149;3;0.305882208;Test
108308003149;4;0.305882208;Test
108308003175;1;0.134654547;Test
108308003175;2;0.134654547;Test
108308003175;3;0.134654547;Test
108308003175;4;0.134654547;Test
108308003177;1;0.103592622;Test
108308003177;2;0.103592622;Test
108308003177;3;0.103592622;Test
108308003177;4;0.103592622;Test
108308003205;1;0.15385721;Test
108308003205;2;0.15385721;Test
108308003205;3;0.15385721;Test
108308003205;4;0.15385721;Test
108308003227;1;0.347600319;Test
108308003227;2;0.347600319;Test
108308003227;3;0.347600319;Test
108308003227;4;0.347600319;Test
108308003259;1;0.338649027;Test
108308003259;2;0.338649027;Test
108308003259;3;0.338649027;Test
108308003259;4;0.338649027;Test
108308003267;1;0.149898171;Test
108308003267;2;0.149898171;Test
108308003267;3;0.149898171;Test
108308003267;4;0.149898171;Test
108308003269;1;0.28013064;Test
108308003269;2;0.28013064;Test
108308003269;3;0.28013064;Test
108308003269;4;0.28013064;Test
108308003287;1;0.146108861;Test
108308003287;2;0.146108861;Test
108308003287;3;0.146108861;Test
108308003287;4;0.146108861;Test
108308003291;1;0.126086859;Test
108308003291;2;0.126086859;Test
108308003291;3;0.126086859;Test
108308003291;4;0.126086859;Test
108308003305;1;1.05961583;Test
108308003305;2;1.05961583;Test
108308003305;3;1.05961583;Test
108308003305;4;1.05961583;Test
108308003315;1;2.039741211;Test
108308003315;2;2.039741211;Test
108308003315;3;2.039741211;Test
108308003315;4;2.039741211;Test
108308003347;1;2.885890226;Test
108308003347;2;2.885890226;Test
108308003347;3;2.885890226;Test
108308003347;4;2.885890226;Test
108308003355;1;0.112919978;Test
108308003355;2;0.112919978;Test
108308003355;3;0.112919978;Test
108308003355;4;0.112919978;Test
108308003393;1;0.095283465;Test
108308003393;2;0.095283465;Test
108308003393;3;0.095283465;Test
108308003393;4;0.095283465;Test
108308003419;1;3.174061369;Test
108308003419;2;3.174061369;Test
108308003419;3;3.174061369;Test
108308003419;4;3.174061369;Test
108308003487;1;0.359602584;Test
108308003487;2;0.359602584;Test
108308003487;3;0.359602584;Test
108308003487;4;0.359602584;Test
108308003489;1;2.952563803;Test
108308003489;2;2.952563803;Test
108308003489;3;2.952563803;Test
108308003489;4;2.952563803;Test
108308003497;1;0.54747404;Test
108308003497;2;0.54747404;Test
108308003497;3;0.54747404;Test
108308003497;4;0.54747404;Test
108308003501;1;0.284887309;Test
108308003501;2;0.284887309;Test
108308003501;3;0.284887309;Test
108308003501;4;0.284887309;Test
108308003505;1;0.433573364;Test
108308003505;2;0.433573364;Test
108308003505;3;0.433573364;Test
108308003505;4;0.433573364;Test
108308003549;1;7.974419605;Test
108308003549;2;7.974419605;Test
108308003549;3;7.974419605;Test
108308003549;4;7.974419605;Test
108308003571;1;0.331475104;Test
108308003571;2;0.331475104;Test
108308003571;3;0.331475104;Test
108308003571;4;0.331475104;Test
108308003607;1;0.373848924;Test
108308003607;2;0.373848924;Test
108308003607;3;0.373848924;Test
108308003607;4;0.373848924;Test
108308003623;1;0.413528149;Test
108308003623;2;0.413528149;Test
108308003623;3;0.413528149;Test
108308003623;4;0.413528149;Test
