ID;Rep;Hardness;Split
108308002278;1;77.46539166;Test
108308002278;2;77.46539166;Test
108308002278;3;77.46539166;Test
108308002278;4;77.46539166;Test
108308002706;1;30.92556598;Test
108308002706;2;30.92556598;Test
108308002706;3;30.92556598;Test
108308002706;4;30.92556598;Test
108308002975;1;73.24844372;Test
108308002975;2;73.24844372;Test
108308002975;3;73.24844372;Test
108308002975;4;73.24844372;Test
108308003106;1;76.49655448;Test
108308003106;2;76.49655448;Test
108308003106;3;76.49655448;Test
108308003106;4;76.49655448;Test
108308003144;1;73.16286093;Test
108308003144;2;73.16286093;Test
108308003144;3;73.16286093;Test
108308003144;4;73.16286093;Test
108308003209;1;75.09307003;Test
108308003209;2;75.09307003;Test
108308003209;3;75.09307003;Test
108308003209;4;75.09307003;Test
108308003241;1;64.42831914;Test
108308003241;2;64.42831914;Test
108308003241;3;64.42831914;Test
108308003241;4;64.42831914;Test
108308003264;1;65.17920571;Test
108308003264;2;65.17920571;Test
108308003264;3;65.17920571;Test
108308003264;4;65.17920571;Test
108308003283;1;67.65591738;Test
108308003283;2;67.65591738;Test
108308003283;3;67.65591738;Test
108308003283;4;67.65591738;Test
108308003306;1;72.03969635;Test
108308003306;2;72.03969635;Test
108308003306;3;72.03969635;Test
108308003306;4;72.03969635;Test
108308003319;1;86.91696762;Test
108308003319;2;86.91696762;Test
108308003319;3;86.91696762;Test
108308003319;4;86.91696762;Test
108308003334;1;88.65287807;Test
108308003334;2;88.65287807;Test
108308003334;3;88.65287807;Test
108308003334;4;88.65287807;Test
108308003351;1;43.6742135;Test
108308003351;2;43.6742135;Test
108308003351;3;43.6742135;Test
108308003351;4;43.6742135;Test
108308003354;1;27.56341532;Test
108308003354;2;27.56341532;Test
108308003354;3;27.56341532;Test
108308003354;4;27.56341532;Test
108308003433;1;48.86764059;Test
108308003433;2;48.86764059;Test
108308003433;3;48.86764059;Test
108308003433;4;48.86764059;Test
108308003494;1;56.77533407;Test
108308003494;2;56.77533407;Test
108308003494;3;56.77533407;Test
108308003494;4;56.77533407;Test
108308005435;1;64.59636147;Test
108308005435;2;64.59636147;Test
108308005435;3;64.59636147;Test
108308005435;4;64.59636147;Test
108308005436;1;45.97389305;Test
108308005436;2;45.97389305;Test
108308005436;3;45.97389305;Test
108308005436;4;45.97389305;Test
108308005436;5;45.97389305;Test
108308005436;6;45.97389305;Test
108308005436;7;45.97389305;Test
108308005436;8;45.97389305;Test
108308005438;1;75.7380032;Test
108308005438;2;75.7380032;Test
108308005438;3;75.7380032;Test
108308005438;4;75.7380032;Test
