2004;2009;2014;2019;2024;2029;2034;2039;2044;2049;2054;2059;2064;2069;2074;2079;2084;2089;2094;2100
0.528730;0.528412;0.522677;0.525407;0.523120;0.522452;0.520018;0.517657;0.518671;0.513838;0.513300;0.510536;0.510222;0.511638;0.507829;0.515662;0.509999;0.508601;0.510366;0.507500
0.544258;0.542695;0.540894;0.538657;0.534300;0.532949;0.531802;0.535376;0.534170;0.529424;0.522025;0.524184;0.523624;0.519538;0.519097;0.518950;0.517522;0.518477;0.514528;0.514293
0.556066;0.557296;0.556093;0.547185;0.550072;0.542556;0.546374;0.545365;0.538661;0.538536;0.536747;0.534479;0.533337;0.533946;0.532863;0.527796;0.527922;0.525674;0.526668;0.524474
0.521401;0.522190;0.518684;0.511996;0.511882;0.513857;0.519654;0.515788;0.512889;0.511603;0.507023;0.513088;0.515126;0.510387;0.512048;0.508247;0.512348;0.507288;0.509880;0.511610
0.579476;0.572105;0.570122;0.565656;0.563205;0.559612;0.558901;0.557808;0.550983;0.547335;0.546836;0.542048;0.542476;0.537300;0.534032;0.533626;0.532883;0.529745;0.526171;0.524279
0.518508;0.519308;0.514311;0.511407;0.510515;0.511081;0.507754;0.512281;0.509919;0.506635;0.508738;0.513204;0.510591;0.506066;0.507577;0.505881;0.507278;0.504489;0.511728;0.500793
0.533380;0.532714;0.527159;0.522846;0.525183;0.522234;0.524054;0.524503;0.521672;0.516994;0.518226;0.520245;0.512676;0.517644;0.512112;0.511478;0.515330;0.513148;0.506878;0.511420
0.637337;0.633738;0.627921;0.630063;0.621575;0.616854;0.609393;0.605452;0.602625;0.597272;0.592160;0.589462;0.580803;0.583777;0.579260;0.568961;0.570078;0.563130;0.562150;0.555647
0.557959;0.552284;0.545349;0.548108;0.541119;0.544862;0.537533;0.539794;0.535443;0.534531;0.531904;0.527884;0.530140;0.526090;0.528543;0.527403;0.523877;0.523448;0.518805;0.521839
0.812806;0.804075;0.792361;0.778415;0.770591;0.758036;0.750328;0.738334;0.729210;0.720967;0.709139;0.697411;0.692989;0.679439;0.667683;0.660677;0.653379;0.643025;0.635034;0.626879
0.512167;0.505754;0.510114;0.511932;0.511377;0.508569;0.514664;0.507772;0.506655;0.510131;0.507465;0.508498;0.510614;0.503391;0.506745;0.506757;0.507662;0.502520;0.504831;0.505832
0.597582;0.586662;0.584709;0.581579;0.574590;0.575327;0.569285;0.564025;0.563331;0.562662;0.554362;0.554198;0.550875;0.548716;0.546039;0.540794;0.540369;0.536973;0.537992;0.532211
