dataset,paper Ridge,paper PLS,paper Nicon,paper CatBoost,paper TabPFN-raw,paper TabPFN-opt,AOM-PLS-best,AOM-Ridge-best,V2B-extended-trainable,V2B-extended-no-reg,V2C-branchSE,V2D-dilated,V2E-branchSE-dilated
Beef_Marbling_RandomSplit,73.35482910231548,74.42331712695719,71.84983848413216,65.97854293540463,66.26015325958707,61.66147586241889,70.66735961681665,,86.43034441865127,86.44836803245461,85.35778755977957,87.82867965109706,82.58870455173134
ta_groupSampleID_stratDateVar_balRows,1.801255958563449,1.8842455461398468,1.7845840739097385,1.6883051624461078,1.6507169013755396,1.5232489464217651,1.8360048550874792,,1.9409083995956191,1.8946165608821663,1.9374094057529028,1.932129080051284,2.103359013046941
DIESEL_bp50_246_b-a,2.838465222966137,3.2879436552500017,8.9960753312349,6.186257544946492,4.144354634385353,4.32793289222884,2.945651849112764,2.7344743390292003,5.496300605408795,4.955189047014312,5.660534361403048,5.82393081054583,5.280213543477163
DIESEL_bp50_246_hla-b,2.719963167674533,2.959740670399023,8.830814458704207,7.274328543367229,4.568122576497599,4.204671505294696,2.7299217516730856,2.4922845978243746,5.103914498852058,4.799649000063567,5.55049392184619,4.791672238039478,4.965628967157869
Chla+b_spxyG_block2deg,72.88079011425634,68.48299411322476,47.58857808223682,55.892551960924,59.89801078051081,70.2517756389499,13.951962642419916,,24.75426135967599,30.963144276199184,29.13570231667495,30.88565840099609,55.94832486736384
Fv_Fm_grp70_30,0.0283570670054036,0.0315504531041416,0.0296308592414648,0.0294391221860153,0.0309108634547573,0.0255441423119991,0.0275312994444184,0.0301364783766884,0.0352702896987791,0.0352551757798717,0.0338927883330753,0.0343905760207361,0.0328272500012461
An_spxyG70_30_byCultivar_MicroNIR,3.647020583392548,3.7318902219042944,3.916115741763163,3.959544574822563,4.010255503725023,3.734769944542737,3.4400208993859405,3.515371319834302,4.335077184454032,4.342167585986541,4.283450371292879,4.39033220114878,4.112445400660405
Malaria_Sporozoite_229_Maia,,,34339.01626517134,36236.08587813769,35027.55533360475,34162.99329936347,33702.37703438236,,33471.55760726513,33411.16748634712,34194.11065541305,33575.366466926505,33645.29585738996
All_manure_CaO_SPXY_strat_Manure_type,6.898422615369386,7.528544191989094,6.357270272396967,6.548555293539626,5.561677568553957,5.621742848992302,7.235524415543641,7.133220363198135,12.549986160320485,12.103362003550451,12.691181705376836,13.086710570595976,9.989986727951749
All_manure_P2O5_SPXY_strat_Manure_type,2.54687928995717,2.3003293127604723,3.074293528724575,2.5134006603653662,2.3950313126089853,2.2951036862227383,2.318901754061266,2.453663163059657,3.344845715897045,3.2455873083273565,3.2615548681846973,3.3372240804945186,3.618026456996098
WOOD_N_402_Olale,0.0491404173686128,0.050733292038705,0.0648556609480335,0.0509146784257037,0.048441743675388,0.0472945910950756,0.0479331532005323,0.0484009753974356,0.0568027133945724,0.0564760611130351,0.0545665716586228,0.0514506900855939,0.0551587390212053
