size,n_trials,spearman_mean,spearman_p05,kendall_mean,kendall_p05,pairwise_mean,pairwise_p05,rank_mae_mean
3,200,0.7523224232028477,-0.01662274717064885,0.5940482314895084,-0.010991925847204724,0.791990034448819,0.49170767716535435,17.95484375
4,200,0.7965288839747098,0.30275280657746606,0.6355579181200776,0.20808907875564786,0.8132209645669292,0.6002891240157481,16.219609375
5,200,0.8344744225049378,0.5297133914943482,0.6700866323677608,0.3938397458517235,0.8308612204724409,0.6925012303149607,14.7689453125
6,200,0.8601581119080504,0.5585094400563385,0.7038295178380872,0.4012958913779646,0.8480745570866142,0.6965674212598426,13.4651953125
7,200,0.9019300470210464,0.7465727967779088,0.74437490597058,0.5636552645236239,0.8682215797244095,0.7768700787401575,11.59421875
8,200,0.8969022926496804,0.6874378560497367,0.7469249479806589,0.5040596784798133,0.8698049950787401,0.7478654035433071,11.4964453125
9,200,0.9168794034028355,0.7593295459655137,0.7726953279226553,0.5674054579073745,0.8827042322834646,0.7791338582677165,10.476484375
10,200,0.9227997951505581,0.8079627233731171,0.7815589948519159,0.6229954475140428,0.887209030511811,0.8078001968503936,10.0074609375
11,200,0.9347584424495022,0.8074720111925299,0.8036946059024314,0.6242996450216112,0.8983156988188977,0.8086183562992125,9.1858984375
12,200,0.9393918434583513,0.8399439243442894,0.8093873571361325,0.6800311757847451,0.9011657234251967,0.8362020177165355,8.878125
13,200,0.9477811721319835,0.8459196606311827,0.825073691595242,0.682745216738506,0.9091172490157482,0.8390255905511811,8.1971875
14,200,0.9537959594728638,0.8861943232997171,0.8347125307955259,0.7346467719475169,0.9140797244094487,0.863361220472441,7.8116015625
15,200,0.9543070168424586,0.8816093714654725,0.8370037967814568,0.7073238971469873,0.9150658218503938,0.8506274606299212,7.6837890625
16,200,0.9583507979114384,0.9060210914423599,0.8444426949513373,0.7492732427439677,0.918863188976378,0.8711552657480315,7.358125
17,200,0.9596813059627389,0.899687697605206,0.8494670304849707,0.73943125223286,0.9214929872047244,0.8662893700787401,7.144296875
18,200,0.9672521261532105,0.9224754473344337,0.8642656101671387,0.7754280142571637,0.9289265501968503,0.8854146161417322,6.5072265625
19,200,0.9683737601866934,0.9221910844051621,0.8677119115362644,0.7825568451207268,0.9307006643700788,0.8881766732283465,6.3607421875
20,200,0.9711404009500232,0.9353818064760809,0.8749377914877179,0.7872393505478148,0.9342894931102361,0.8890994094488189,6.03234375
21,200,0.9727925409399684,0.9330720802297114,0.8786791499150494,0.8082886892596385,0.9362014025590552,0.901685531496063,5.879453125
22,200,0.9745694123708992,0.9355805108666818,0.8839378419385008,0.8096594693160337,0.9388078248031496,0.9011749507874016,5.675546875
23,200,0.9752959731642966,0.9370649218692355,0.885766422630355,0.8112917164990289,0.9396751968503938,0.9018208661417323,5.6030859375
24,200,0.9790167688445263,0.9444558245553352,0.8962257437667196,0.827425405897496,0.9449975393700788,0.9102915846456693,5.0870703125
25,200,0.9782583933316522,0.9553564537605843,0.8940233566116942,0.8385416168256109,0.9439124015748033,0.9159448818897638,5.1814453125
26,200,0.9808102982900134,0.9511865816597863,0.9011131654303258,0.8359990652136939,0.9474827755905512,0.9145054133858268,4.8687109375
27,200,0.982766412519911,0.9624572597644515,0.9061331952063534,0.8579943552891296,0.9500867372047243,0.9257566437007874,4.6540625
28,200,0.9846289977664497,0.9677810332593222,0.9118090209073435,0.8726689291368179,0.9528549458661416,0.9327878937007874,4.3919921875
29,200,0.9846954861764151,0.9642367355240479,0.9130158595995053,0.8593755789432993,0.9534713336614173,0.9261011318897638,4.331328125
30,200,0.985482471336384,0.9691108745896366,0.9148791905607743,0.8719786319428614,0.9544746555118111,0.9335814468503937,4.248046875
