model,n_datasets
nirs4all-POP-PLS-default,59
AOM-compact-cv3-numpy,57
AOM-compact-cv5-oneSE-numpy,57
AOM-compact-cv5-numpy,57
AOM-compact-press-numpy,57
AOM-compact-repcv3-numpy,57
AOM-compact-repcv3-oneSE-numpy,57
AOM-compact-oneSEcv3-numpy,57
AOM-default-nipals-adjoint-numpy,57
AOM-default-oneSEcv3-numpy,57
AOM-default-simpls-covariance-numpy,57
AOM-explorer-simpls-numpy,57
AOM-family-pruned-cv3-numpy,57
AOM-family-pruned-numpy,57
AOM-response-dedup-cv3-numpy,57
AOM-compact-simpls-covariance-numpy,57
ASLS-AOM-compact-cv3-numpy,57
ASLS-AOM-compact-cv5-numpy,57
ASLS-AOM-compact-repcv3-numpy,57
ASLS-AOM-compact-repcv3-oneSE-numpy,57
ASLS-AOM-family-pruned-cv3-numpy,57
ASLS-AOM-response-dedup-cv3-numpy,57
ActiveSuperblock-deep3-numpy,57
ActiveSuperblock-simpls-numpy,57
LocalSNV-w101-AOM-compact,57
LocalSNV-w31-AOM-compact,57
LocalSNV-w51-AOM-compact,57
MSC-AOM-compact-numpy,57
MSC-AOM-default-numpy,57
MSC-OSC-AOM-default-numpy,57
OSC-AOM-compact-numpy,57
AOM-response-dedup-numpy,57
OSC-AOM-default-numpy,57
PLS-standard-numpy,57
POP-K5-numpy,57
POP-K3-numpy,57
POP-K8-cv3-oneSE-numpy,57
POP-K8-numpy,57
POP-nipals-adjoint-numpy,57
POP-K8-cv3-numpy,57
SNV-AOM-compact-cv3-numpy,57
SNV-AOM-compact-numpy,57
SNV-AOM-compact-oneSE-numpy,57
SNV-AOM-compact-repcv3-numpy,57
SNV-AOM-default-numpy,57
SNV-ASLS-AOM-compact-repcv3-numpy,57
SNV-OSC-AOM-default-numpy,57
POP-simpls-covariance-numpy,57
Superblock-raw-simpls-numpy,57
nirs4all-AOM-PLS-default,57
pipeline-emsc1-asls-osc1-compact,57
pipeline-emsc1-asls-osc1-default,57
pipeline-emsc1-asls-osc2-compact,57
pipeline-emsc1-asls-osc2-default,57
pipeline-emsc1-asls-osc3-compact,57
pipeline-emsc1-asls-osc3-default,57
pipeline-emsc1-asls-x-compact,57
pipeline-emsc1-asls-x-default,57
pipeline-emsc1-x-osc1-compact,57
pipeline-emsc1-x-osc1-default,57
pipeline-emsc1-x-osc2-compact,57
pipeline-emsc1-x-osc2-default,57
pipeline-emsc1-x-osc3-compact,57
pipeline-emsc1-x-osc3-default,57
pipeline-emsc1-x-x-compact,57
pipeline-emsc1-x-x-default,57
pipeline-emsc2-asls-osc1-compact,57
pipeline-emsc2-asls-osc1-default,57
pipeline-emsc2-asls-osc2-compact,57
pipeline-emsc2-asls-osc2-default,57
pipeline-emsc2-asls-osc3-compact,57
pipeline-emsc2-asls-osc3-default,57
pipeline-emsc2-asls-x-compact,57
pipeline-emsc2-asls-x-default,57
pipeline-emsc2-x-osc1-compact,57
pipeline-emsc2-x-osc1-default,57
pipeline-emsc2-x-osc2-compact,57
pipeline-emsc2-x-osc2-default,57
pipeline-emsc2-x-osc3-compact,57
pipeline-emsc2-x-osc3-default,57
pipeline-emsc2-x-x-compact,57
pipeline-emsc2-x-x-default,57
pipeline-msc-asls-osc1-compact,57
pipeline-msc-asls-osc1-default,57
pipeline-msc-asls-osc2-compact,57
pipeline-msc-asls-osc2-default,57
pipeline-msc-asls-osc3-compact,57
pipeline-msc-asls-osc3-default,57
pipeline-msc-asls-x-compact,57
pipeline-msc-asls-x-default,57
pipeline-msc-x-osc1-compact,57
pipeline-msc-x-osc1-default,57
pipeline-msc-x-osc2-compact,57
pipeline-msc-x-osc2-default,57
pipeline-msc-x-osc3-compact,57
pipeline-msc-x-osc3-default,57
pipeline-msc-x-x-compact,57
pipeline-msc-x-x-default,57
pipeline-snv-asls-osc1-compact,57
pipeline-snv-asls-osc1-default,57
pipeline-snv-asls-osc2-compact,57
pipeline-snv-asls-osc2-default,57
pipeline-snv-asls-osc3-compact,57
pipeline-snv-asls-osc3-default,57
pipeline-snv-asls-x-compact,57
pipeline-snv-asls-x-default,57
pipeline-snv-x-osc1-compact,57
pipeline-snv-x-osc1-default,57
pipeline-snv-x-osc2-compact,57
pipeline-snv-x-osc2-default,57
pipeline-snv-x-osc3-compact,57
pipeline-snv-x-osc3-default,57
pipeline-snv-x-x-compact,57
pipeline-snv-x-x-default,57
pipeline-x-asls-osc1-compact,57
pipeline-x-asls-osc1-default,57
pipeline-x-asls-osc2-compact,57
pipeline-x-asls-osc2-default,57
pipeline-x-asls-osc3-compact,57
pipeline-x-asls-osc3-default,57
pipeline-x-asls-x-compact,57
pipeline-x-asls-x-default,57
pipeline-x-x-osc1-compact,57
pipeline-x-x-osc1-default,57
pipeline-x-x-osc2-compact,57
pipeline-x-x-osc2-default,57
pipeline-x-x-osc3-compact,57
pipeline-x-x-osc3-default,57
