ID;Rep;Hardness;trait_class;CSplit
108308002278;1;77.46539166;(60,Inf];Test
108308002278;2;77.46539166;(60,Inf];Test
108308002278;3;77.46539166;(60,Inf];Test
108308002278;4;77.46539166;(60,Inf];Test
108308002533;1;46.78479236;[0,60];Test
108308002533;2;46.78479236;[0,60];Test
108308002533;3;46.78479236;[0,60];Test
108308002533;4;46.78479236;[0,60];Test
108308002706;1;30.92556598;[0,60];Test
108308002706;2;30.92556598;[0,60];Test
108308002706;3;30.92556598;[0,60];Test
108308002706;4;30.92556598;[0,60];Test
108308002999;1;59.16137746;[0,60];Test
108308002999;2;59.16137746;[0,60];Test
108308002999;3;59.16137746;[0,60];Test
108308002999;4;59.16137746;[0,60];Test
108308003020;1;77.30609269;(60,Inf];Test
108308003020;2;77.30609269;(60,Inf];Test
108308003020;3;77.30609269;(60,Inf];Test
108308003020;4;77.30609269;(60,Inf];Test
108308003076;1;86.20494882;(60,Inf];Test
108308003076;2;86.20494882;(60,Inf];Test
108308003076;3;86.20494882;(60,Inf];Test
108308003076;4;86.20494882;(60,Inf];Test
108308003144;1;73.16286093;(60,Inf];Test
108308003144;2;73.16286093;(60,Inf];Test
108308003144;3;73.16286093;(60,Inf];Test
108308003144;4;73.16286093;(60,Inf];Test
108308003146;1;76.18631164;(60,Inf];Test
108308003146;2;76.18631164;(60,Inf];Test
108308003146;3;76.18631164;(60,Inf];Test
108308003146;4;76.18631164;(60,Inf];Test
108308003173;1;66.62279811;(60,Inf];Test
108308003173;2;66.62279811;(60,Inf];Test
108308003173;3;66.62279811;(60,Inf];Test
108308003173;4;66.62279811;(60,Inf];Test
108308003278;1;85.45956517;(60,Inf];Test
108308003278;2;85.45956517;(60,Inf];Test
108308003278;3;85.45956517;(60,Inf];Test
108308003278;4;85.45956517;(60,Inf];Test
108308003325;1;67.15009512;(60,Inf];Test
108308003325;2;67.15009512;(60,Inf];Test
108308003325;3;67.15009512;(60,Inf];Test
108308003325;4;67.15009512;(60,Inf];Test
108308003343;1;70.24669609;(60,Inf];Test
108308003343;2;70.24669609;(60,Inf];Test
108308003343;3;70.24669609;(60,Inf];Test
108308003343;4;70.24669609;(60,Inf];Test
108308003354;1;27.56341532;[0,60];Test
108308003354;2;27.56341532;[0,60];Test
108308003354;3;27.56341532;[0,60];Test
108308003354;4;27.56341532;[0,60];Test
108308003369;1;62.66824877;(60,Inf];Test
108308003369;2;62.66824877;(60,Inf];Test
108308003369;3;62.66824877;(60,Inf];Test
108308003369;4;62.66824877;(60,Inf];Test
108308003435;1;41.11569499;[0,60];Test
108308003435;2;41.11569499;[0,60];Test
108308003435;3;41.11569499;[0,60];Test
108308003435;4;41.11569499;[0,60];Test
108308003494;1;56.77533407;[0,60];Test
108308003494;2;56.77533407;[0,60];Test
108308003494;3;56.77533407;[0,60];Test
108308003494;4;56.77533407;[0,60];Test
108308003618;1;70.58090194;(60,Inf];Test
108308003618;2;70.58090194;(60,Inf];Test
108308003618;3;70.58090194;(60,Inf];Test
108308003618;4;70.58090194;(60,Inf];Test
108308005442;1;99.00184098;(60,Inf];Test
108308005442;2;99.00184098;(60,Inf];Test
108308005442;3;99.00184098;(60,Inf];Test
108308005442;4;99.00184098;(60,Inf];Test
