database_name,dataset,model_class,rmsep,source
ALPINE,ALPINE_P_291_KS,paper CNN,0.0664148023614497,paper (TabPFN bench master_pivot)
AMYLOSE,Rice_Amylose_313_YbasedSplit,paper CNN,4.345497073743923,paper (TabPFN bench master_pivot)
BEEFMARBLING,Beef_Marbling_RandomSplit,paper CNN,71.84983848413216,paper (TabPFN bench master_pivot)
BERRY,brix_groupSampleID_stratDateVar_balRows,paper CNN,3.177753022430552,paper (TabPFN bench master_pivot)
BERRY,ph_groupSampleID_stratDateVar_balRows,paper CNN,0.3014082315709076,paper (TabPFN bench master_pivot)
BERRY,ta_groupSampleID_stratDateVar_balRows,paper CNN,1.7845840739097385,paper (TabPFN bench master_pivot)
COLZA,C_woOutlier,paper CNN,1.083652343279137,paper (TabPFN bench master_pivot)
COLZA,N_wOutlier,paper CNN,0.2275656278796885,paper (TabPFN bench master_pivot)
COLZA,N_woOutlier,paper CNN,0.2284955254602308,paper (TabPFN bench master_pivot)
CORN,Corn_Oil_80_ZhengChenPelegYbaseSplit,paper CNN,0.1400469931426546,paper (TabPFN bench master_pivot)
CORN,Corn_Starch_80_ZhengChenPelegYbaseSplit,paper CNN,0.7391460265739083,paper (TabPFN bench master_pivot)
DIESEL,DIESEL_bp50_246_b-a,paper CNN,8.9960753312349,paper (TabPFN bench master_pivot)
DIESEL,DIESEL_bp50_246_hla-b,paper CNN,8.830814458704207,paper (TabPFN bench master_pivot)
DIESEL,DIESEL_bp50_246_hlb-a,paper CNN,9.316116492179855,paper (TabPFN bench master_pivot)
DarkResp,Rd25_CBtestSite,paper CNN,0.329324325326808,paper (TabPFN bench master_pivot)
DarkResp,Rd25_GTtestSite,paper CNN,0.3110374714927551,paper (TabPFN bench master_pivot)
DarkResp,Rd25_XSBNtestSite,paper CNN,0.2797961738540649,paper (TabPFN bench master_pivot)
DarkResp,Rd25_spxy70,paper CNN,0.1888844900914862,paper (TabPFN bench master_pivot)
ECOSIS_LeafTraits,Ccar_spxyG_block2deg,paper CNN,6.3384977343867615,paper (TabPFN bench master_pivot)
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,paper CNN,47.58857808223682,paper (TabPFN bench master_pivot)
ECOSIS_LeafTraits,Chla+b_spxyG_species,paper CNN,26.784691491905424,paper (TabPFN bench master_pivot)
FUSARIUM,Fv_Fm_grp70_30,paper CNN,0.0296308592414648,paper (TabPFN bench master_pivot)
GRAPEVINES,grapevine_chloride_556_KS,paper CNN,1073.719514334624,paper (TabPFN bench master_pivot)
GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_ASD,paper CNN,3.5145827379590973,paper (TabPFN bench master_pivot)
GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_MicroNIR,paper CNN,3.916115741763163,paper (TabPFN bench master_pivot)
GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,paper CNN,3.5599510921190065,paper (TabPFN bench master_pivot)
GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_NeoSpectra,paper CNN,4.11519325075458,paper (TabPFN bench master_pivot)
GRAPEVINE_LeafTraits,LMA_spxyG70_30_byCultivar_ASD,paper CNN,0.3080723026334159,paper (TabPFN bench master_pivot)
GRAPEVINE_LeafTraits,WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,paper CNN,1.787942024636682,paper (TabPFN bench master_pivot)
IncombustibleMaterial,TIC_spxy70,paper CNN,4.484732080735033,paper (TabPFN bench master_pivot)
LUCAS,LUCAS_SOC_Cropland_8731_NocitaKS,paper CNN,4.208835177803961,paper (TabPFN bench master_pivot)
LUCAS,LUCAS_pH_Organic_1763_LiuRandomOrganic,paper CNN,0.2937801661651289,paper (TabPFN bench master_pivot)
MALARIA,Malaria_Oocist_333_Maia,paper CNN,7781.917056183684,paper (TabPFN bench master_pivot)
MALARIA,Malaria_Sporozoite_229_Maia,paper CNN,34339.01626517134,paper (TabPFN bench master_pivot)
MANURE21,All_manure_CaO_SPXY_strat_Manure_type,paper CNN,6.357270272396967,paper (TabPFN bench master_pivot)
MANURE21,All_manure_K2O_SPXY_strat_Manure_type,paper CNN,2.83999836949951,paper (TabPFN bench master_pivot)
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,paper CNN,1.0005233617630638,paper (TabPFN bench master_pivot)
MANURE21,All_manure_P2O5_SPXY_strat_Manure_type,paper CNN,3.074293528724575,paper (TabPFN bench master_pivot)
MANURE21,All_manure_Total_N_SPXY_strat_Manure_type,paper CNN,1.8247846564270245,paper (TabPFN bench master_pivot)
MILK,Milk_Fat_1224_KS,paper CNN,0.1118968202312703,paper (TabPFN bench master_pivot)
MILK,Milk_Lactose_1224_KS,paper CNN,0.0558433627940406,paper (TabPFN bench master_pivot)
MILK,Milk_Urea_1224_KS,paper CNN,4.270099109768146,paper (TabPFN bench master_pivot)
PHOSPHORUS,LP_spxyG,paper CNN,0.1877679220994396,paper (TabPFN bench master_pivot)
PHOSPHORUS,MP_spxyG,paper CNN,0.0197390386259831,paper (TabPFN bench master_pivot)
PHOSPHORUS,NP_spxyG,paper CNN,0.1308428302701117,paper (TabPFN bench master_pivot)
PHOSPHORUS,Pi_spxyG,paper CNN,0.2161549115938909,paper (TabPFN bench master_pivot)
PHOSPHORUS,V25_spxyG,paper CNN,0.2429051266219819,paper (TabPFN bench master_pivot)
QUARTZ,Quartz_spxy70,paper CNN,0.0109287547359119,paper (TabPFN bench master_pivot)
TABLET,Escitalopramt_310_Zhao,paper CNN,0.3195409959979831,paper (TabPFN bench master_pivot)
WOOD_density,WOOD_Density_402_Olale,paper CNN,0.1349870752928403,paper (TabPFN bench master_pivot)
WOOD_density,WOOD_N_402_Olale,paper CNN,0.0648556609480335,paper (TabPFN bench master_pivot)
ALPINE,ALPINE_P_291_KS,paper Catboost,0.0603528865617188,paper (TabPFN bench master_pivot)
AMYLOSE,Rice_Amylose_313_YbasedSplit,paper Catboost,3.581127726639834,paper (TabPFN bench master_pivot)
BEEFMARBLING,Beef_Marbling_RandomSplit,paper Catboost,65.97854293540463,paper (TabPFN bench master_pivot)
BEER,Beer_OriginalExtract_60_KS,paper Catboost,0.4457752108607296,paper (TabPFN bench master_pivot)
BEER,Beer_OriginalExtract_60_YbaseSplit,paper Catboost,0.8248772788864936,paper (TabPFN bench master_pivot)
BERRY,brix_groupSampleID_stratDateVar_balRows,paper Catboost,3.3154128982840474,paper (TabPFN bench master_pivot)
BERRY,ph_groupSampleID_stratDateVar_balRows,paper Catboost,0.2578402052728352,paper (TabPFN bench master_pivot)
BERRY,ta_groupSampleID_stratDateVar_balRows,paper Catboost,1.6883051624461078,paper (TabPFN bench master_pivot)
BISCUIT,Biscuit_Fat_40_RandomSplit,paper Catboost,1.3058914497145615,paper (TabPFN bench master_pivot)
BISCUIT,Biscuit_Sucrose_40_RandomSplit,paper Catboost,1.5124326715988914,paper (TabPFN bench master_pivot)
COLZA,C_woOutlier,paper Catboost,1.10283466346398,paper (TabPFN bench master_pivot)
COLZA,N_wOutlier,paper Catboost,0.2650874523717349,paper (TabPFN bench master_pivot)
COLZA,N_woOutlier,paper Catboost,0.2540808169377002,paper (TabPFN bench master_pivot)
CORN,Corn_Oil_80_ZhengChenPelegYbaseSplit,paper Catboost,0.0934955426164865,paper (TabPFN bench master_pivot)
