Sample_ID;Split
BGE1;cal
BGE1;cal
BGE1;cal
BGE2;cal
BGE2;cal
BGE2;cal
BGE3;cal
BGE3;cal
BGE3;cal
BGE4;cal
BGE4;cal
BGE4;cal
BGE5;cal
BGE5;cal
BGE5;cal
BGE6;cal
BGE6;cal
BGE6;cal
BGE7;cal
BGE7;cal
BGE7;cal
BGE8;cal
BGE8;cal
BGE8;cal
BGE9;cal
BGE9;cal
BGE9;cal
BGE10;cal
BGE10;cal
BGE10;cal
BGE11;cal
BGE11;cal
BGE11;cal
BGE12;cal
BGE12;cal
BGE12;cal
BGE13;cal
BGE13;cal
BGE13;cal
BGE14;cal
BGE14;cal
BGE14;cal
BGE15;cal
BGE15;cal
BGE15;cal
BGE16;cal
BGE16;cal
BGE16;cal
BGE17;cal
BGE17;cal
BGE17;cal
BGE18;cal
BGE18;cal
BGE18;cal
BGE19;cal
BGE19;cal
BGE19;cal
BGE20;cal
BGE20;cal
BGE20;cal
BGE21;cal
BGE21;cal
BGE21;cal
BGE22;cal
BGE22;cal
BGE22;cal
BGE23;cal
BGE23;cal
BGE23;cal
BGE24;cal
BGE24;cal
BGE24;cal
BGE25;cal
BGE25;cal
BGE25;cal
BGE26;cal
BGE26;cal
BGE26;cal
BGE27;cal
BGE27;cal
BGE27;cal
BGE28;cal
BGE28;cal
BGE28;cal
BGE29;cal
BGE29;cal
BGE29;cal
BGE30;cal
BGE30;cal
BGE30;cal
BGE31;cal
BGE31;cal
BGE31;cal
BGE32;cal
BGE32;cal
BGE32;cal
BGE33;cal
BGE33;cal
BGE33;cal
BGE34;cal
BGE34;cal
BGE34;cal
BGE35;cal
BGE35;cal
BGE35;cal
BGE36;cal
BGE36;cal
BGE36;cal
BGE37;cal
BGE37;cal
BGE37;cal
BGE38;cal
BGE38;cal
BGE38;cal
BGE40;cal
BGE40;cal
BGE40;cal
BGE41;cal
BGE41;cal
BGE41;cal
BGE42;cal
BGE42;cal
BGE42;cal
BGE44;cal
BGE44;cal
BGE44;cal
BGE45;cal
BGE45;cal
BGE45;cal
BGE46;cal
BGE46;cal
BGE46;cal
BGE47;cal
BGE47;cal
BGE47;cal
BGE48;cal
BGE48;cal
BGE48;cal
BGE49;cal
BGE49;cal
BGE49;cal
BGE52;cal
BGE52;cal
BGE52;cal
BGE54;cal
BGE54;cal
BGE54;cal
BGE55;cal
BGE55;cal
BGE55;cal
BGE56;cal
BGE56;cal
BGE56;cal
BGE58;cal
BGE58;cal
BGE58;cal
BGE59;cal
BGE59;cal
BGE59;cal
BGE62;cal
BGE62;cal
BGE62;cal
BGE63;cal
BGE63;cal
BGE63;cal
BGE64;cal
BGE64;cal
BGE64;cal
BGE65;cal
BGE65;cal
BGE65;cal
BGE66;cal
BGE66;cal
BGE66;cal
BGE67;cal
BGE67;cal
BGE67;cal
BGE68;cal
BGE68;cal
BGE68;cal
BGE69;cal
BGE69;cal
BGE69;cal
BGE71;cal
BGE71;cal
BGE71;cal
BGE72;cal
BGE72;cal
BGE72;cal
BGE73;cal
BGE73;cal
BGE73;cal
BGE74;cal
BGE74;cal
BGE74;cal
BGE75;cal
BGE75;cal
BGE75;cal
BGE76;cal
BGE76;cal
BGE76;cal
BGE77;cal
BGE77;cal
BGE77;cal
BGE78;cal
BGE78;cal
BGE78;cal
BGE79;cal
BGE79;cal
BGE79;cal
BGE80;cal
BGE80;cal
BGE80;cal
BGE81;cal
BGE81;cal
BGE81;cal
BGE82;cal
BGE82;cal
BGE82;cal
BGE83;cal
BGE83;cal
BGE83;cal
BGE84;cal
BGE84;cal
BGE84;cal
BGE85;cal
BGE85;cal
BGE85;cal
BGE86;cal
BGE86;cal
BGE86;cal
BGE87;cal
BGE87;cal
BGE87;cal
BGE88;cal
BGE88;cal
BGE88;cal
BGE89;cal
BGE89;cal
BGE89;cal
BGE90;cal
BGE90;cal
BGE90;cal
BGE91;cal
BGE91;cal
BGE91;cal
BGE92;cal
BGE92;cal
BGE92;cal
BGE93;cal
BGE93;cal
BGE93;cal
BGE94;cal
BGE94;cal
BGE94;cal
BGE95;cal
BGE95;cal
BGE95;cal
BGE97;cal
BGE97;cal
BGE97;cal
BGE98;cal
BGE98;cal
BGE98;cal
BGE99;cal
BGE99;cal
BGE99;cal
BGE100;cal
BGE100;cal
BGE100;cal
BGE101;cal
BGE101;cal
BGE101;cal
BGE102;cal
BGE102;cal
BGE102;cal
BGE103;cal
BGE103;cal
BGE103;cal
BGE104;cal
BGE104;cal
BGE104;cal
BGE105;cal
BGE105;cal
BGE105;cal
BGE106;cal
BGE106;cal
BGE106;cal
BGE107;cal
BGE107;cal
BGE107;cal
BGE108;cal
BGE108;cal
BGE108;cal
BGE109;cal
BGE109;cal
BGE109;cal
BGE110;cal
BGE110;cal
BGE110;cal
BGE111;cal
BGE111;cal
BGE111;cal
BGE112;cal
BGE112;cal
BGE112;cal
BGE113;cal
BGE113;cal
BGE113;cal
BGE115;cal
BGE115;cal
BGE115;cal
BGE116;cal
BGE116;cal
BGE116;cal
BGE117;cal
BGE117;cal
BGE117;cal
BGE118;cal
BGE118;cal
BGE118;cal
BGE119;cal
BGE119;cal
BGE119;cal
BGE120;cal
BGE120;cal
BGE120;cal
BGE121;cal
BGE121;cal
BGE121;cal
BGE122;cal
BGE122;cal
BGE122;cal
BGE123;cal
BGE123;cal
BGE123;cal
BGE124;cal
BGE124;cal
BGE124;cal
BGE125;cal
BGE125;cal
BGE125;cal
BGE130;cal
BGE130;cal
BGE130;cal
BGE133;cal
BGE133;cal
BGE133;cal
BGE134;cal
BGE134;cal
BGE134;cal
BGE135;cal
BGE135;cal
BGE135;cal
BGE136;cal
BGE136;cal
BGE136;cal
BGE137;cal
BGE137;cal
BGE137;cal
BGE138;cal
BGE138;cal
BGE138;cal
BGE139;cal
BGE139;cal
BGE139;cal
BGE140;cal
BGE140;cal
BGE140;cal
BGE141;cal
BGE141;cal
BGE141;cal
BGE142;cal
BGE142;cal
BGE142;cal
BGE143;cal
BGE143;cal
BGE143;cal
BGE144;cal
BGE144;cal
BGE144;cal
BGE145;cal
BGE145;cal
BGE145;cal
BGE146;cal
BGE146;cal
BGE146;cal
BGE147;cal
BGE147;cal
BGE147;cal
BGE148;cal
BGE148;cal
BGE148;cal
BGE149;cal
BGE149;cal
BGE149;cal
