dataset,paper Ridge,paper PLS,paper Nicon,paper CatBoost,paper TabPFN-raw,paper TabPFN-opt,AOM-PLS-best,AOM-Ridge-best,V2C-noreg,V2E-noreg,V2H-lowrank-r8,V2H-lowrank-r16,V2H-lowrank-r32,V2H-lowrank-dilated
ALPINE_P_291_KS,0.0589773153713793,0.0622707496529526,0.0664148023614497,0.0603528865617188,0.0595929243596609,0.0434172262265824,0.0570306404056327,0.0580812657263183,0.0715020630010888,0.0721368077198678,0.0660400065353112,0.0718292704790923,0.0675231649760058,0.0714178767495986
Beer_OriginalExtract_60_YbaseSplit,0.1910032468197337,0.2559337959455767,,0.8248772788864936,0.2248612839143847,0.1518057882280002,0.2074260424079046,0.258492607083256,0.5467549697999509,0.7753161549573098,0.9521466744600872,0.7816543506844202,0.6208644236750558,0.4921716497011358
N_woOutlier,0.2263305091990318,0.2380378882249404,0.2284955254602308,0.2540808169377002,0.209232780207432,0.1774593952768322,0.2585790093972522,,0.3060970943635359,0.2641350872159304,0.3691790819690305,0.2729666553551887,0.2910364619327137,0.2773321202119785
Chla+b_spxyG_block2deg,72.88079011425634,68.48299411322476,47.58857808223682,55.892551960924,59.89801078051081,70.2517756389499,13.951962642419916,,28.47595772502795,27.242513832968037,26.96494722258944,29.38081477029931,28.99397178286798,31.673128158693437
Chla+b_spxyG_species,63.69881633405782,65.10231168682624,26.784691491905424,26.549529540829685,60.69883695501996,49.00256863506216,14.019228997409694,,34.28200610438227,30.52422543612224,24.28819357561301,26.483701052743253,28.014625090257645,26.604971778373347
grapevine_chloride_556_KS,914.9612915669088,915.735138197346,1073.719514334624,875.196391770851,1004.7711085771856,771.2750618484285,916.5580773140164,938.8161798346372,1196.9151091579486,1192.9829488539954,1225.021830244782,1211.5638060774254,1200.9747320148974,1189.7061514290056
An_spxyG70_30_byCultivar_NeoSpectra,4.802865456056688,4.927187099416517,4.11519325075458,4.8041700890023495,4.374574398786281,4.484544769962023,4.3170571697034505,4.686971712244227,4.364452460210246,4.370807958130483,4.330751186083022,4.32234024090648,4.341794289404183,4.35289593073089
TIC_spxy70,2.506867785916912,2.787786960121247,4.484732080735033,3.8836388033062335,3.4640680128660866,2.9618158540951023,2.948120757463263,3.649992484426337,5.420693909653558,5.850349324594611,5.986164749946522,5.732330906951816,6.344144382681736,5.696582753120406
All_manure_MgO_SPXY_strat_Manure_type,0.7736696013360851,0.7826806868853714,1.0005233617630638,0.8518912219363179,0.7834426914589188,0.7508986236686556,0.7168578848596966,0.7376199328405435,1.095263326139963,1.0911370675874006,1.044448305371692,1.0343877490918765,1.004672425236578,1.0272690477454152
All_manure_Total_N_SPXY_strat_Manure_type,1.7064692893113451,1.7584969529696053,1.8247846564270245,1.6932689102057146,1.7949795973712188,1.5941884695680253,1.5485802707770282,1.6620922165015766,2.060904600344255,2.015294094862993,2.037395102544867,1.9694725653947776,2.00465296895918,
