ID;Rep;Digestibility;Split
108308002012;1;47.17934803;Test
108308002012;2;47.17934803;Test
108308002012;3;47.17934803;Test
108308002012;4;47.17934803;Test
108308002014;1;72.34942095;Test
108308002014;2;72.34942095;Test
108308002014;3;72.34942095;Test
108308002014;4;72.34942095;Test
108308002062;1;43.66045102;Test
108308002062;2;43.66045102;Test
108308002062;3;43.66045102;Test
108308002062;4;43.66045102;Test
108308002076;1;56.52032726;Test
108308002076;2;56.52032726;Test
108308002076;3;56.52032726;Test
108308002076;4;56.52032726;Test
108308002080;1;53.3766227;Test
108308002080;2;53.3766227;Test
108308002080;3;53.3766227;Test
108308002080;4;53.3766227;Test
108308002082;1;69.08301052;Test
108308002082;2;69.08301052;Test
108308002082;3;69.08301052;Test
108308002082;4;69.08301052;Test
108308002096;1;47.14216669;Test
108308002096;2;47.14216669;Test
108308002096;3;47.14216669;Test
108308002096;4;47.14216669;Test
108308002130;1;54.60604999;Test
108308002130;2;54.60604999;Test
108308002130;3;54.60604999;Test
108308002130;4;54.60604999;Test
108308002138;1;64.4619502;Test
108308002138;2;64.4619502;Test
108308002138;3;64.4619502;Test
108308002138;4;64.4619502;Test
108308002142;1;75.15589897;Test
108308002142;2;75.15589897;Test
108308002142;3;75.15589897;Test
108308002142;4;75.15589897;Test
108308002832;1;62.45059688;Test
108308002832;2;62.45059688;Test
108308002832;3;62.45059688;Test
108308002832;4;62.45059688;Test
108308002834;1;54.80570706;Test
108308002834;2;54.80570706;Test
108308002834;3;54.80570706;Test
108308002834;4;54.80570706;Test
108308002836;1;65.9633357;Test
108308002836;2;65.9633357;Test
108308002836;3;65.9633357;Test
108308002836;4;65.9633357;Test
108308002838;1;59.89585999;Test
108308002838;2;59.89585999;Test
108308002838;3;59.89585999;Test
108308002838;4;59.89585999;Test
108308002840;1;62.60329508;Test
108308002840;2;62.60329508;Test
108308002840;3;62.60329508;Test
108308002840;4;62.60329508;Test
108308002850;1;58.70665634;Test
108308002850;2;58.70665634;Test
108308002850;3;58.70665634;Test
108308002850;4;58.70665634;Test
108308002888;1;57.41454099;Test
108308002888;2;57.41454099;Test
108308002888;3;57.41454099;Test
108308002888;4;57.41454099;Test
108308002896;1;47.05560654;Test
108308002896;2;47.05560654;Test
108308002896;3;47.05560654;Test
108308002896;4;47.05560654;Test
108308002908;1;54.50949601;Test
108308002908;2;54.50949601;Test
108308002908;3;54.50949601;Test
108308002908;4;54.50949601;Test
108308002916;1;49.4298843;Test
108308002916;2;49.4298843;Test
108308002916;3;49.4298843;Test
108308002916;4;49.4298843;Test
108308002918;1;46.45781249;Test
108308002918;2;46.45781249;Test
